matchID,participantID,accountID,originalRegion
4452143678,1,Z7hYfvuERHmmXl--DL6XWZUDGTu-ku-f980IzlDgMFidGTc,EUW1
4452143678,2,Pf7n5_b8VdzJ4S4JHrRnBs9h3tBOGvtJYsdUJdk9E_7pOWyYTL-_fAYN,EUW1
4452143678,3,jbcDyFfxhQYcn1c5LSgFrhYDply0cRqbERAyGv-6zfbgww,EUN1
4452143678,4,jVkz7rsJtyt8n6y6dslA5HPI_Q5EFODCs_u92GqulgK2EA,EUW1
4452143678,5,OkGK7sfeowtD5gzgGCn9ej5WaQ3ZV5M_jpjypE6lW1LwM3E,EUW1
4452143678,6,VX8oeLImnJSQbKbV38tRQiNnbdAIgdizn3P74TCihhhTZQ,EUW1
4452143678,7,NOhoKTVPW8b0-vfQHup-HRvP0wBjgRSqvN7uV8P9afwqd_0XBYKFVIOn,EUW1
4452143678,8,_OnyTwN-dHn-sJ2Y-zv4YBLCwKj95PhzSf-6cZ6eOnVfQHo,EUW1
4452143678,9,OfKDPWakjIB_SzAi5RahxWacoNnFqKadj0Pdr2mPd9aguQ,EUN1
4452143678,10,NzD_dx6-01d7173QyMA86BYxKGl1WyC7DCu7-4h44p2kZYg,TR1
4452150484,1,vIx7py15I2ZFwCily2Lyoa-7WSIHsjaZ03qIXF5ZfOSj5ow,EUN1
4452150484,2,tkvskFM4-eg7Lzr3H0uUsZ4nzlXR0KslBJZQ8pM7B-4elg,EUW1
4452150484,3,08xMPwyP6welAtMvUiC3KgIKc74jWAyBFKEXUp3o4tL6DeM,EUW1
4452150484,4,JFkkm00qYNIQL9Xl28SvyRRYN8FmQ_uqJEkRbqUm6OTrAQ,EUW1
4452150484,5,Pf7n5_b8VdzJ4S4JHrRnBs9h3tBOGvtJYsdUJdk9E_7pOWyYTL-_fAYN,EUW1
4452150484,6,_OnyTwN-dHn-sJ2Y-zv4YBLCwKj95PhzSf-6cZ6eOnVfQHo,EUW1
4452150484,7,Wh2OzX91jxI5LQj1hrdopUN1JbINdVloaiObKW9NOZYz0bE,EUW1
4452150484,8,h2-LTSbUYUTOFvQ11KGg8cWUspk3n6k8SMu3Cq6zITZk5gQU8XxUgszs,TR1
4452150484,9,OfKDPWakjIB_SzAi5RahxWacoNnFqKadj0Pdr2mPd9aguQ,EUN1
4452150484,10,NzD_dx6-01d7173QyMA86BYxKGl1WyC7DCu7-4h44p2kZYg,TR1
4452061441,1,IYqhfFsUmyCCGdeWxVq_cZymqi9313kBv6BO94cB9XNDbQ,EUW1
4452061441,2,cKq7hvHIqAqbVn2AzTT8chfUhm7C5AZg3MZxV_LZx9d2m78,EUW1
4452061441,3,O6e4a5J9ZHLo5QEFh3v84SwKqfzEbLYHPKbxb8DljkxUag,EUW1
4452061441,4,OfKDPWakjIB_SzAi5RahxWacoNnFqKadj0Pdr2mPd9aguQ,EUN1
4452061441,5,NzD_dx6-01d7173QyMA86BYxKGl1WyC7DCu7-4h44p2kZYg,TR1
4452061441,6,INXxjRNQ2wzzKqAOBLr40MwoMpBD2_PBfpTc6lkdhWiMuA,EUW1
4452061441,7,9bTRxeB-86Pzogs4cYDD9cpOK3IOElKTRFBxrmncVOTo-w,EUW1
4452061441,8,LHkAgcB7dZ0XnfFx23w0YrAh8BVgjbZHw7LR6f5X0y0DLec,EUW1
4452061441,9,sev9nU9etvIe89lbbQXPwzGvuOKgbH_5mSduLt0mxmoAzvw,NA1
4452061441,10,GCYRstxazmaej6Lch3hWdE0zWNv_iYDT8lFnTyoOvdmxxw,EUW1
4451937377,1,bRK3TnL2cZpX-0chOrcpKL8AQDasneAotvgK6Tgm8-AF7nI,EUW1
4451937377,2,7kHjxoW0LqqY_xmVBqnnwrnvdgXqjecreuhv4v1bWUKR7G0,EUW1
