/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"1041bc4b-3048-4213-b83f-7d746e1fbd24","RANKED_SOLO_5x5","BRONZE","III","BA3L_sDzlWNrI1cmSxs6vMY0WBXwCxAoXDqJ1BC8b-VlnfD9","noximyth",3.0,18.0,22.0,false,false,false,false,,,,
"449c093b-88ed-42ac-a7eb-b186beccd04a","RANKED_SOLO_5x5","BRONZE","III","Hd9yJoxIXWPno4vnWVpuX-1iiAAePBHkVo6mQUqZEiAbujt7","bu hendy",19.0,5.0,5.0,false,false,false,false,,,,
"80c39196-b984-4453-a31d-d05d3cc27d73","RANKED_SOLO_5x5","BRONZE","III","Gb9kzg5ptlDrQZOCAf-0mmx0a4NjGcxDq7BCxket-LoJkLS-","High Elo Smurf",18.0,7.0,3.0,false,false,false,true,,,,
"cb3e18d0-633d-4128-add9-63511c0e2477","RANKED_SOLO_5x5","BRONZE","III","tC6SUxxZblqjnwGlAXf-qKmuwsftEGIs-oPGUdzSvcO5yqAD","TranKill",0.0,20.0,19.0,false,false,false,false,,,,
"ec6e29b3-edbc-4711-b81f-492955b8749e","RANKED_SOLO_5x5","BRONZE","III","eaF3hSyivQbYi5IeT_H9DXaJw-X-TYRmRBbRj41XOFQatGHG","SOUPorter",30.0,79.0,66.0,false,false,false,false,,,,
"24f55ce8-827c-4472-bd50-d406c13f8afb","RANKED_SOLO_5x5","BRONZE","III","eVrD1cuJOPdoopexUWKRkzqXV8aLpJPoL5DsUVQqZHXWWCTm","Avdiç",100.0,58.0,62.0,false,false,false,false,2.0,1.0,0.0,"WNN"
"24e69af0-5dda-411a-b0be-76cd137a5a2c","RANKED_SOLO_5x5","BRONZE","III","NzPiDNtMrl-i4DNNqBjeGAZK4kjtF-Mp76b1GhLZClFbQXrZ","kaktus1",100.0,9.0,5.0,false,false,false,true,2.0,1.0,0.0,"WNN"
"d98d685e-2a54-4a32-b3e1-8747755bf244","RANKED_SOLO_5x5","BRONZE","III","u12tvASIbFVaUflU95uBVmyQLHBK-H5AfXxkyNPy4hUjh_dj","JuliaGladh",10.0,12.0,14.0,false,false,false,false,,,,
"8ecdf0a3-ebcd-4213-9b09-6f175fe5a6df","RANKED_SOLO_5x5","BRONZE","III","tOao9EXSN5tpjsbx7blUKzGnEgOq1V2_lK2-wi2zfzmqEwZF","guilledestroller",4.0,4.0,6.0,false,false,false,false,,,,
"71267fd6-92c5-4e8b-bd7b-023d095bb499","RANKED_SOLO_5x5","BRONZE","III","TpFJvSnP2gVYukQ-wvd-hJpiMuU4p-chJx7VCmWTuJ9LMnyy","xBiMaSx",0.0,24.0,36.0,false,false,false,false,,,,
