/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"6801ae3a-092c-4aaa-b46a-17ba2530f473","RANKED_SOLO_5x5","BRONZE","IV","UMSo_95c-gr5FTSF14be2Ip5kz5pYWWy0EKtTyrfDcDlhsGN","Joker of Jukes",34.0,3.0,8.0,false,false,false,false,,,,
"684226b9-aa90-4437-ae9f-4f65a0a5ff15","RANKED_SOLO_5x5","BRONZE","IV","13xk1OWv3qsP0-5-9tvmR5Q63CnLC4xfpH-ln_bVZAjOoT4S","SpoelS",0.0,5.0,12.0,false,false,false,false,,,,
"76f41767-dfa5-4cb4-ad8a-3b801170c658","RANKED_SOLO_5x5","BRONZE","IV","ZQqwlBRmcGHfxVzBejMWE13eRU5ETk2yzH0WWoWI9FcEQe1g","CAOOOOOOOOOOOO",81.0,6.0,4.0,false,false,false,false,,,,
"d9236575-4a71-44cd-8df9-99a05b9da9c0","RANKED_SOLO_5x5","BRONZE","IV","9p_TrmvzE7K2w5yRbafUI7q7KEIfoRJGIFArsNduolvdWKlq","Frog the Thunder",41.0,32.0,32.0,false,false,false,false,,,,
"626598cb-2f44-4660-87b5-2b6567a57db1","RANKED_SOLO_5x5","BRONZE","IV","TR4w41kNz6t73Z1Y1CQBZnlYIsnLOZiaCb8iimo17BaTHoQa","nightooi",59.0,34.0,46.0,false,false,false,false,,,,
"f8d4065d-8480-48c0-8e57-9a3729cce25d","RANKED_SOLO_5x5","BRONZE","IV","GxIWay7EnyXqa5En2FvaPiLjrnop-azDzk-soQRjJY5Jf22F","Encanisa",47.0,6.0,7.0,false,false,false,false,,,,
"029520c2-bb16-4f75-8747-29a889b0df48","RANKED_SOLO_5x5","BRONZE","IV","dXHXu2eZezX1sBMpwljZiadvYJ5QKyf2EwdoQ8pePNObcb4T","Straaand",11.0,12.0,8.0,false,false,false,false,,,,
"80b09b70-cbf3-4145-9170-3be24eca26a3","RANKED_SOLO_5x5","BRONZE","IV","39yuyWdgQ-LbH1Uy_oR7YJpGGmpVRTvThCGz75BJqWo9zo1t","C9 xaLo",56.0,11.0,18.0,false,false,true,false,,,,
"85ea4ac2-1dab-4ff9-b5af-a15deff4b34c","RANKED_SOLO_5x5","BRONZE","IV","-QC5UoaoSJ0EtmO8L--055Jgxehp0LMIDqSoMykgvY_cqdnY","Unreachable Just",54.0,29.0,23.0,false,false,false,false,,,,
"e76728d2-dfeb-4131-a1e9-2b3df2459c67","RANKED_SOLO_5x5","BRONZE","IV","ESTzQYW9z9VWO-zTs92oOzikUMFJ6eGa6-Nz9kbdXhFDGhvY","3vIldEvIl",63.0,6.0,7.0,false,false,false,false,,,,
"3801753e-1f9f-44bd-9b0c-53c029449555","RANKED_SOLO_5x5","BRONZE","IV","WFD-KpmBUYY2NSChbBBStyasazlmVypFEAoghIt6GOtDnQ9o","mekkawy 22",63.0,9.0,2.0,false,false,false,true,,,,
"8c31b9bd-f9d9-4f68-9048-2537f80d8571","RANKED_SOLO_5x5","BRONZE","IV","MNhfew2S65GvdIFeK5HMcinRI8tX7KJ0jHlo4maAR06afAQs","e1m1ha",63.0,13.0,16.0,false,false,false,false,,,,
"ce7fb87b-ae72-48a8-bd47-c4e9202e3ae5","RANKED_SOLO_5x5","BRONZE","IV","o95dqD6frgOyJjoRHL-lXXwlXZ5-aGki2lmZMzHj9Tzzusqk","redtoine",87.0,6.0,5.0,false,false,false,false,,,,
"9d3f768c-c681-491e-a5ce-df1944c9802b","RANKED_SOLO_5x5","BRONZE","IV","Saweh1oLEEaGDx6Membaau2fp81PJxe1gFgZzvLHDshhT9wQ","ZDalvik",79.0,11.0,7.0,false,false,false,false,,,,
"8a7f64d5-08e4-430d-92cd-c268364e43b0","RANKED_SOLO_5x5","BRONZE","IV","VJQ10QlkSpujG3ZR7QFhbq04eZgpUnD7-hj6WFdJFAU3ClfA","Nigthsigh",49.0,65.0,91.0,false,false,false,false,,,,
"fade9cdc-8ef0-484e-afcc-66b74afdfe4b","RANKED_SOLO_5x5","BRONZE","IV","LCUczV3yw7GeqQof3uv8fb-Y5Ibsw3tmHjt-XqE3r0GWlLbJ","Nescarti",72.0,19.0,21.0,false,false,false,false,,,,
"0f49b2af-3bd0-4d32-b367-54a092ee87ab","RANKED_SOLO_5x5","BRONZE","IV","rGYGxUj0DYwrtFfgCQZxFt2rkozFkQln7bhNQ2B92lpZ9pG1","Pop0yê",0.0,3.0,10.0,false,false,true,false,,,,
"06c6eff6-340b-4b09-bcc7-0d0dba374a30","RANKED_SOLO_5x5","BRONZE","IV","89-oISDX4bCaGolpVVZ2q894QWMU-Q52zjTmlYwn7C9slQIB","ZixerFromYT",1.0,7.0,3.0,false,false,false,false,,,,
"7bf0818f-dcff-4b60-b537-1a9810e19493","RANKED_SOLO_5x5","BRONZE","IV","YE8g5IHGvDENDOO73589kBoNiMY3Odx_F8pVXP6J4YWP4Wen","klimpo",100.0,9.0,6.0,false,false,false,false,2.0,1.0,0.0,"WNN"
"fae8f5ed-8f06-45eb-b36d-4b2d44410fb1","RANKED_SOLO_5x5","BRONZE","IV","kSYsL58YN6uwRWsDjCYFUhtNBuOCVePwnvM52jli82uUT9y6","Norman1411",49.0,17.0,22.0,false,false,false,false,,,,
"72eec9c5-a31f-49d0-9ad8-2fe9671dbb77","RANKED_SOLO_5x5","BRONZE","IV","e3FEZkQLnlILmGRwxIrJ60Qp8cHb5slcGZ6tKTPU9EX_8WQb","Hanzo786",35.0,9.0,6.0,false,false,false,false,,,,
"ac2a445c-b601-4b93-8011-2f9c1f6957b1","RANKED_SOLO_5x5","BRONZE","IV","uzDVd9fT2JPBGAcDygOIVieu_y54jfdG5Cwzr2ux-cN57ncV","Fedeadagratuito",38.0,70.0,82.0,false,false,false,false,,,,
"cf6bf224-bc07-47c2-a90c-4230d96a62ac","RANKED_SOLO_5x5","BRONZE","IV","PCajybY5HAefI42jMa4SgFsrueDeuW_z0QF2LF0IaED4XDw1","zAlexNauts",100.0,9.0,8.0,false,false,false,false,2.0,1.0,1.0,"LWN"
