/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"13dab1d7-70a0-42e4-9672-532bdd8d8e9c","RANKED_SOLO_5x5","DIAMOND","I","ySaHYPLgtGwRc-d_Qt9jfN8XAU4PCZ8tqPft3cmbLPd35kzY","ccccllllllll",1.0,111.0,108.0,false,false,false,false,,,,
"7c699201-2ae5-49ca-adba-208471db946f","RANKED_SOLO_5x5","DIAMOND","I","Kax45o-rr_ugdklDQewqxBkrmpPD79i7fRqu_0iErhLwrBk8","Soloitude",27.0,85.0,64.0,false,false,false,false,,,,
"c54c4418-10e3-4b9a-ad49-039cf31fb15a","RANKED_SOLO_5x5","DIAMOND","I","fjjBmNApGTXboZNn1a8XoDHXcn0ebzmIM3LPZ5Nf2op3NwJ2","PD baxiu",68.0,270.0,280.0,false,false,false,true,,,,
"0f8a41a3-dffb-4457-ba1a-d370da708d6d","RANKED_SOLO_5x5","DIAMOND","I","4OHDtgZYo79QovKQyCIFRCShFeO43GhVzAK4l7HML7O4qciM","EUW dog players",15.0,56.0,43.0,false,false,false,false,,,,
"563c4e4f-9546-4f91-af1f-d78cef389f57","RANKED_SOLO_5x5","DIAMOND","I","yC04C2jgV2bKCuXUMHb-_G3uoj4Zm1Gs9Cuz4M0CA7jopixc","control denied",1.0,64.0,65.0,false,false,false,false,,,,
"5dd6416a-bf3a-41ad-bf28-0dbdef9bc1e6","RANKED_SOLO_5x5","DIAMOND","I","rpmc0EhD5pHnAxaA1QbB9i5YuR_rqwiNOq4oOj4fG2MQds0U","tibia player",29.0,111.0,97.0,false,false,false,false,,,,
"13dab1d7-70a0-42e4-9672-532bdd8d8e9c","RANKED_SOLO_5x5","DIAMOND","I","Vwf4Dv74fqztwkB76rYqeLI3zVAhLb2nS1mq3ugo2nFx-1DE","ZZZZL",0.0,142.0,120.0,false,false,false,false,,,,
"9c27527f-595b-477b-b455-154dd3478b1d","RANKED_SOLO_5x5","DIAMOND","I","gs4iGLPXTtCu-4-5HmltphmyMZO8pzMA0CwSyd6I95BZF2jF","Gødshot",90.0,38.0,19.0,false,false,false,false,,,,
"4ece2016-de07-4773-9b39-3c857e95832a","RANKED_SOLO_5x5","DIAMOND","I","dwBtWtfB0KqLORSQo16lTe-e0B7zTDEVSXEBo4ckeuo5gx1X","Kage86",50.0,56.0,29.0,false,false,false,false,,,,
"5ea27c92-641b-46dc-8ad3-fbafbd201802","RANKED_SOLO_5x5","DIAMOND","I","AbREXdRNl73a3p0BuI77zl95XfPud_jPYYgKCCiqFhHiEjKi","Glejsjon",43.0,85.0,64.0,false,false,false,false,,,,
"20aacbd0-1579-4d67-ad52-b154a0d576d4","RANKED_SOLO_5x5","DIAMOND","I","6ONco7GyZ-nM2T_0UYnavWwsMnSlQ0zFsJsiFKVNkxQnPcyS","Captalnqwark",7.0,61.0,55.0,false,false,false,false,,,,
"3d6b60eb-ea06-4fd8-b244-a0a0a79ce754","RANKED_SOLO_5x5","DIAMOND","I","32H5ObjhFcxfDviCfRpC6qs-kTqF-sbuXIXlAFSK_Z9TmAGW","ThePapagai",0.0,111.0,98.0,false,false,false,false,,,,
"7c699201-2ae5-49ca-adba-208471db946f","RANKED_SOLO_5x5","DIAMOND","I","PHsmOnG8tg-CSzSwYpNlm23EySEuAJx2cKaXpN8gnQ77K2v5","Losowy Zadymiarz",0.0,15.0,8.0,false,false,false,true,,,,
"c97ba66b-4fe3-4ca8-a983-fb179940dac1","RANKED_SOLO_5x5","DIAMOND","I","XITdo0nT9d5n1hq64kltawgvfcqGYQkVMoiW-f0fAG58Ie74","Crestic",15.0,192.0,190.0,false,false,false,false,,,,
"b01a3756-bea3-4986-8451-f921575520a3","RANKED_SOLO_5x5","DIAMOND","I","-ZPGl2Nv68S-wqYus1Yyx40zlbr7VFzu8wBy6ljnr0ZV09GT","Çûkûtay",0.0,73.0,68.0,false,false,false,false,,,,
"3a735f28-f922-4632-8643-e64051492e52","RANKED_SOLO_5x5","DIAMOND","I","BP2dMOHEqf2hS2DC9AQTTgeqHBAtToWOAcr_wMMdBrxxRr0g","Shoot Twice",16.0,111.0,108.0,false,false,false,false,,,,
"4e466fe3-2203-4d62-8735-29fc3e31ed31","RANKED_SOLO_5x5","DIAMOND","I","07VhJTBCTdoJAa9Sfyi5QHitRj32FR5UPUz5mp6TsP7WOfoA","FB Sparz",50.0,42.0,48.0,false,false,false,false,,,,
"4bd86f17-feb5-4f62-80ea-403b737277b9","RANKED_SOLO_5x5","DIAMOND","I","Y7n9ScRp6bn3ZqUijm4tlfNnhhV43AP93Z3rM6JQnbg8ZPnE","Marut",0.0,139.0,117.0,false,false,false,false,,,,
"a1d43e95-6fb1-4c9d-a08e-888eb8e440d0","RANKED_SOLO_5x5","DIAMOND","I","E0SBn_NA_68OpqM8RsKX1XdqJLvnaskJJYwONC3SGtJHeACM","NKI Simpli",58.0,157.0,156.0,false,false,true,false,,,,
"71a4d346-ea5b-4722-a7d2-825cc2698f1b","RANKED_SOLO_5x5","DIAMOND","I","uYeDwPzgVBDeQYbt3LJjJHSFcMfriLMIc2o6M-4juwOkGTPT","Erico Mozambiko",46.0,105.0,103.0,false,false,true,false,,,,
"188c3194-1b58-4982-93dd-dfbc275c83bb","RANKED_SOLO_5x5","DIAMOND","I","YAGq9tDc5QWPfdTI-_o7IO1w2j9GZtVci9QTtpLUdF0-p5X_","Random Plâyer",3.0,87.0,97.0,false,false,false,false,,,,
"0aecda46-d40d-4b11-9835-f69a51fcabc3","RANKED_SOLO_5x5","DIAMOND","I","U7tiZetRPuphlR9Z1SZ_xekyVEC59zMIeCOoAb0LAyn9Nd7_","ROX ExiT",74.0,16.0,12.0,false,false,false,false,,,,
"30a48f35-c44c-43ac-9a72-eb160f0d437c","RANKED_SOLO_5x5","DIAMOND","I","dj3sPd6IRO942cT0X5rW3CFt9j4lYpldP9ADH7bCqGt2LFlm","PAUL PUNISHER",11.0,93.0,94.0,false,false,false,false,,,,
"35a6f74f-b148-457d-a6ad-4d7350d8168c","RANKED_SOLO_5x5","DIAMOND","I","07c1uCL_TpjIDbH3nM5Yhy4XsopzcDxxXR6ON8C8ILz9vJcx","Lyai Akeru",77.0,228.0,137.0,false,false,false,false,,,,
"4e466fe3-2203-4d62-8735-29fc3e31ed31","RANKED_SOLO_5x5","DIAMOND","I","gkrm7zdz0OimUdxQPb0C97XYrnDSavGMc6iXwV84kjwRoWWC","GTZ Kaiba",24.0,242.0,238.0,false,false,true,false,,,,
"2be83c83-18af-489f-a47b-8bedbe414504","RANKED_SOLO_5x5","DIAMOND","I","kV2yIKszNajITKJ5QjyZPHgB1EBYbHUQIr55G8nzRkfSLqe5","Syyron234",0.0,120.0,122.0,false,false,false,false,,,,
"f1df69b2-2e9c-4981-afda-55b492e2baa0","RANKED_SOLO_5x5","DIAMOND","I","W5lfiC44dT4tPI0kbwIPcKDn2oj4yflCr5oPPcvvFR_9IOdP","nød",60.0,58.0,53.0,false,false,false,false,,,,
"1c23a3f0-7056-49f0-bb45-994b4ea995a1","RANKED_SOLO_5x5","DIAMOND","I","eIh38UR59Gw4DZ2aOSZ56CI_HQ6DmdLWgEA--Fb3604-TwAI","Mr Never Right",52.0,51.0,27.0,false,false,false,true,,,,
"e04e7033-c87d-44bd-bc54-a1e9e739f04e","RANKED_SOLO_5x5","DIAMOND","I","33CvP9CzjC1B2UmxIi9SQo63LHj8ax5vqZfJO1fTBTuSD-1H","p1noyszn",60.0,56.0,63.0,false,false,false,false,,,,
