/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"599820a7-95ad-4500-8558-9f686f4ce619","RANKED_SOLO_5x5","DIAMOND","II","ng39kiYOrdkan03izUKBNZ-2ueEe6QhgCbP2wiiSCnYw10bo","Starduster",78.0,120.0,109.0,false,false,false,false,,,,
"2b35df93-c634-4d0b-a2de-b4714f7a695d","RANKED_SOLO_5x5","DIAMOND","II","JhC0NcVGfz48UjntZsqaNAfpU32_J8PfLrbQL944ok_af6H5","Victorioo",0.0,37.0,33.0,false,false,false,false,,,,
"51098389-2dd7-4219-8a40-75600e9a01c1","RANKED_SOLO_5x5","DIAMOND","II","z0xy5w3-4gaGmcQ3jD7GOfLdFUdSgmYQPOrsIhjmeES9uoIy","Rain1ng",90.0,26.0,16.0,false,false,false,false,,,,
"1e5bd549-56b2-4bc6-bc9e-54d4ef331566","RANKED_SOLO_5x5","DIAMOND","II","T8uhTrWuWbg5GpI_Em_pVx3d2Wh8M9o-n8nAA1h9i8F-4Ppb","Huskigodx",95.0,125.0,124.0,false,false,false,false,,,,
"3c687245-bbbf-4bee-a0cd-040baca76cb6","RANKED_SOLO_5x5","DIAMOND","II","Do7BVBlXfwAgiBlT_lF_jsxrhjw4fDputCe91Dkb5L90SbBR","Spitzweck",20.0,91.0,101.0,false,false,false,false,,,,
"e12072fb-0052-4cfe-a91f-0a274b6b4d11","RANKED_SOLO_5x5","DIAMOND","II","Jen-6-pbjwyYGA28c4rIoPuQmWf00KHVAIpaA18AfcHSA0S7","Korean Bus",15.0,57.0,55.0,false,false,false,false,,,,
"95626038-84c1-44db-b9f5-a9963a731224","RANKED_SOLO_5x5","DIAMOND","II","r3rS_9UYuyBOceNO_Yd536A0Gq5Q603jauHqxAvZeUlPNjqj","Kato Dan",11.0,212.0,177.0,false,false,false,false,,,,
"ad89d41a-c24c-4bb0-a8d0-2e47110a5932","RANKED_SOLO_5x5","DIAMOND","II","4rZGzxXE6NG0HZQEK5-MDP6CvvreDo6UinxMRx7L7cMatLmy","ψ LARS ψ",56.0,106.0,114.0,false,false,false,false,,,,
"5be59859-1bb4-4c0f-937e-39b869b12952","RANKED_SOLO_5x5","DIAMOND","II","xBIax-52i02B1feFRgrYsaQWfEcjSaT2p17ohf1zTv_T_zeN","Xenis",6.0,45.0,44.0,false,false,false,false,,,,
"4bd86f17-feb5-4f62-80ea-403b737277b9","RANKED_SOLO_5x5","DIAMOND","II","qk6UpXYQD_90ZRgVxlHqVIzKKFpwzvi6Ue4NvYsq1b1ZWx2I","CY Yikes",0.0,35.0,29.0,false,false,false,false,,,,
"1c23a3f0-7056-49f0-bb45-994b4ea995a1","RANKED_SOLO_5x5","DIAMOND","II","dW2_-lPErILdgizympTXmYN2bA_38GEZIr8IfdVNq-Hceawc","Exun",0.0,16.0,21.0,false,false,false,false,,,,
"74841f58-0c96-472f-a5c5-4cf71247a5c8","RANKED_SOLO_5x5","DIAMOND","II","UBmtLlI7WA2xDUAUCyZt2N0ysWtLN6PUocFlGLAwPjIXsbcu","M0zzix",24.0,166.0,142.0,false,false,false,false,,,,
"3373e7bc-76c5-4c03-8b01-18bc26d3c44a","RANKED_SOLO_5x5","DIAMOND","II","GBSDGxkxflbH74VRtLbtxaTnyHhzCy6nxpSBbwTJcvQ9YCFW","HEMBlS",21.0,128.0,111.0,false,false,false,false,,,,
"3c687245-bbbf-4bee-a0cd-040baca76cb6","RANKED_SOLO_5x5","DIAMOND","II","xClKv5A7Yc60_Mk2trQZlf2UX0uY6IbcguvnsZ3hdVFQXycj","Gannicüs",54.0,220.0,219.0,false,false,false,false,,,,
"78fcfda6-d046-4cb0-8ad8-f54ece8ca2b7","RANKED_SOLO_5x5","DIAMOND","II","YrvJ6eeJCM58QT4OEm5_YJeTTzOueu5uyRwidFiWz9tKCqyt","Forbenn",46.0,141.0,147.0,false,false,false,false,,,,
"74841f58-0c96-472f-a5c5-4cf71247a5c8","RANKED_SOLO_5x5","DIAMOND","II","hzo5sgtPZj5SfhtJDgy6pLAXckViIUvMptrYzEydh1diahKA","CleanSinL9",58.0,177.0,166.0,false,false,false,false,,,,
"0f109844-71c0-4d4a-89e2-1ba7c78c4945","RANKED_SOLO_5x5","DIAMOND","II","LGj0En-ZQQZbSBZmGXdMo6oLrnHpdSGLcy41k5N1uF-4ccv9","sockradekablar",0.0,212.0,152.0,false,false,false,false,,,,
"156ade5d-0e1c-42c4-9d26-3278113f5914","RANKED_SOLO_5x5","DIAMOND","II","cRcSEvNYdfWeu73qsJyxsZMlv9ZgjNjcZSneUxPu0YzcoX4t","nkem",32.0,81.0,72.0,false,false,false,false,,,,
"5dd6416a-bf3a-41ad-bf28-0dbdef9bc1e6","RANKED_SOLO_5x5","DIAMOND","II","YDzszoEi89VPdjZLGhSTysLfRgxxprQBGbWqh5GhUjeI17NG","Magical Border",0.0,100.0,56.0,false,false,false,true,,,,
"c45c4271-d3f1-467c-bafa-9de52dcb5fa8","RANKED_SOLO_5x5","DIAMOND","II","3puxYq2ZRVSKQ4_OJU6S-5vaNREjhdB6P5LObxYdOiZ25kFc","ZarkaKwalid",20.0,28.0,34.0,false,false,false,false,,,,
"13d76b03-3e58-4afc-8655-40e7c393d529","RANKED_SOLO_5x5","DIAMOND","II","xKQ4mfK0DBgupIIzt_X0CV0Dyvld_AkMXbi5P8Q_sgZo_CCY","Shirο",51.0,37.0,36.0,false,false,false,false,,,,
"447f7aba-ece2-4e55-a6ed-8068e989f2c2","RANKED_SOLO_5x5","DIAMOND","II","sz_3rP6CvwTc6GvgWLCGS6XVfAf4ZmWmjx-5Cyb0UPBoQc4T","GyghaIII",61.0,47.0,42.0,false,false,false,false,,,,
"d6e154f0-4138-488f-b58c-f386f1f3ed9d","RANKED_SOLO_5x5","DIAMOND","II","ZsvaOiAcA3Jk2Z64i0BZU8jx1kassWPitN0yLFbmIxjtCvvm","HAF Poro",33.0,82.0,60.0,false,false,false,false,,,,
"3db1f940-2949-44ec-9ba6-55509013266f","RANKED_SOLO_5x5","DIAMOND","II","qSVbxgCAHX5aEnj8qDg17W75OqYSImekXZlmfD18fezCRqz8","weenycker",0.0,57.0,36.0,false,false,false,false,,,,
"13cf8aec-b387-4bee-a6e9-8b6b93ec19b3","RANKED_SOLO_5x5","DIAMOND","II","16SsTiNS95gpnAKJkj7IbCbZ9zh3Bfwcdvm9SYE_sh_G0sIq","Prestige Pug",0.0,76.0,64.0,false,false,false,false,,,,
"66933014-8b15-46d2-b953-c411322f61b5","RANKED_SOLO_5x5","DIAMOND","II","VQchy8cI8g2LGsS6WM4tJGjepBzVhwE5wrQAPJSNSHq4eUPa","Deelix",34.0,161.0,164.0,false,false,false,false,,,,
"bd618839-01ad-4445-b702-68fd340baa46","RANKED_SOLO_5x5","DIAMOND","II","AAYmkuoqu37PuswALqVc1M3TZugofW7qYg8Uj_yG2y8PnyEP","IDK How2PlaySupp",21.0,14.0,15.0,false,false,false,false,,,,
"ff5c1315-c5e0-45d3-aa41-0a95cba15c1d","RANKED_SOLO_5x5","DIAMOND","II","vhgN4001nFOS8lycjpIjeY9wuxjjrpNyrVFZu1O721j02WoG","1738",0.0,76.0,63.0,false,false,false,false,,,,
