/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"aca0f044-02d0-4c59-adb9-062725c4d28f","RANKED_SOLO_5x5","DIAMOND","III","EgF2mJ9jv_XqkZj1EbG6TwO9H75ZRWn8TQnt_6OO2p52OwL7","Son Tzetzosat",62.0,116.0,132.0,false,false,false,false,,,,
"2be83c83-18af-489f-a47b-8bedbe414504","RANKED_SOLO_5x5","DIAMOND","III","OT6sJWzhZo9Dgtg0DpOupQyELfJv6MErUFD4DZJKLmPSdVB-","aL9shkaSadEbalo",60.0,111.0,94.0,false,false,false,false,,,,
"27dfc4f2-edf8-4f2a-a374-c432d5d7f72f","RANKED_SOLO_5x5","DIAMOND","III","lZ88-FMp6oi056efauH2pRFppiU4FRye05u7YwIc3jjjO6sE","Salazzar",37.0,117.0,123.0,false,false,false,false,,,,
"eb66b228-28a3-4650-9c3c-af7130137d68","RANKED_SOLO_5x5","DIAMOND","III","aEKa20Aegi1D4kKsOXxrGIHQuO3cFtDaN1YPDkxeGLXnRiYm","Blood12345678910",41.0,202.0,156.0,false,false,false,false,,,,
"3023ec92-2d14-400b-a8cc-22e3c1302ec1","RANKED_SOLO_5x5","DIAMOND","III","rVDJlRRapZTnCR7lwoRXXxV38JvgQOWX84qkTDWICeBSUz9e","Gosberg",12.0,31.0,25.0,false,false,false,false,,,,
"4bd86f17-feb5-4f62-80ea-403b737277b9","RANKED_SOLO_5x5","DIAMOND","III","gpwRRtIUDpQ2sqeMqPBxLRciBvQKAJuEI58KcKckFyuQUycy","AoNushi is sad",0.0,23.0,28.0,false,false,true,false,,,,
"30a48f35-c44c-43ac-9a72-eb160f0d437c","RANKED_SOLO_5x5","DIAMOND","III","59YDfucQfWWnitjdYVJmdmInXYfanfzap9r77Hlamd12LOHZ","Gilgamesz",39.0,36.0,35.0,false,false,false,false,,,,
"c4fc45ec-c39c-4717-9e7d-21fe9973b5f7","RANKED_SOLO_5x5","DIAMOND","III","jV7OJCTt8SaknemOCNcQ9C5-B0d0gxR6F_HLmYe_b4o62SCR","murkel",14.0,215.0,203.0,false,false,false,false,,,,
"55ae4fb6-9223-4495-9ddd-52f2e3f44143","RANKED_SOLO_5x5","DIAMOND","III","PNxgijOiiam17mDpzyWAiG37kJ-TmLswK_Y8-NjmcvLj65Qi","Kestâne",14.0,166.0,186.0,false,false,false,false,,,,
"563c4e4f-9546-4f91-af1f-d78cef389f57","RANKED_SOLO_5x5","DIAMOND","III","vTDs46K06_3SI9LN0q8FazVitIYznXFVsUdJHKZ0PBJJX1b-","Rogalloo",18.0,113.0,95.0,false,false,false,false,,,,
"beed5efe-f574-46d0-a449-195a5bff9350","RANKED_SOLO_5x5","DIAMOND","III","7PWTc57-gZlGGpC_KPb3j_WX-3UO9ninjn26GnLQNmrky4TU","LV Fryd",0.0,334.0,312.0,false,false,false,false,,,,
"a1d43e95-6fb1-4c9d-a08e-888eb8e440d0","RANKED_SOLO_5x5","DIAMOND","III","foD_q2ZwOQao6zg1GqGP2CNpTpKpo1tFinZ_U-HFu2pjy1hL","Kieffergg",41.0,66.0,63.0,false,false,false,false,,,,
"51098389-2dd7-4219-8a40-75600e9a01c1","RANKED_SOLO_5x5","DIAMOND","III","ciaa3pB4VH5f2UEsHAydmtT97DxQAV7EKTR44qYo_yTL8oMr","0utcome",30.0,61.0,38.0,false,false,false,false,,,,
"37556189-2125-4cc4-81ce-0f8c3bdd6bdc","RANKED_SOLO_5x5","DIAMOND","III","bhKp2hur2QaNtmRDOfFwjijMvT4exQmzbmESrpthUo3JSoOv","Ghiosu",39.0,145.0,152.0,false,false,false,false,,,,
"1e5bd549-56b2-4bc6-bc9e-54d4ef331566","RANKED_SOLO_5x5","DIAMOND","III","F9ctXKVxxOZeniVB_TYj9BFlKsHT2F7KwCIPTzDu4YWq2ZlL","êpsilon",48.0,90.0,103.0,false,false,false,false,,,,
"5be59859-1bb4-4c0f-937e-39b869b12952","RANKED_SOLO_5x5","DIAMOND","III","Fwtx6tkGJArd8Amis89Oyf3z9pJOtJMZHCSAZ9lYGh7FKhwa","PhasedKiller",58.0,177.0,158.0,false,false,false,false,,,,
"5ea27c92-641b-46dc-8ad3-fbafbd201802","RANKED_SOLO_5x5","DIAMOND","III","ifSlcQrXdkBCTfNnJhPsdsO4z1CLOhtckM4zK9ALY9AB5sX9","Pop a Perky",67.0,84.0,72.0,false,false,false,false,,,,
"c38423b6-0d79-4c1b-84f1-d48cb6bac0f3","RANKED_SOLO_5x5","DIAMOND","III","0j5C-AiINCWaESJzeMfj33d8p70iBKTUQtMSl5juT0YbKzB4","Vgf Bobler",15.0,80.0,68.0,false,false,true,false,,,,
"6e7a4eb1-b0f1-4d42-b774-be363b97468f","RANKED_SOLO_5x5","DIAMOND","III","dW60Ef1vhNJ9NPuSc3kiJhyVxlHOUPgW9mYQPf8ztKJMTYRD","TheySeeMéDraving",11.0,132.0,149.0,false,false,false,false,,,,
"c104adc4-4f00-4fcd-b3b4-96f42fbe5e6a","RANKED_SOLO_5x5","DIAMOND","III","voHv15fYxrJRF4sNGvkKe8xtUeFiMkcJ_VrNrhsQrlkzX7Zg","NXB Sky",64.0,34.0,30.0,false,false,false,false,,,,
"586113bc-6d07-4d13-9b2f-7b0774b049cd","RANKED_SOLO_5x5","DIAMOND","III","P9y5xBzr9-OF0VnpLwk9YnTqmvEKItdL4YYbjMWh7BzUwGaz","TearB0T",61.0,94.0,59.0,false,false,false,false,,,,
"bd618839-01ad-4445-b702-68fd340baa46","RANKED_SOLO_5x5","DIAMOND","III","f0RERnc-jT4JFQTGZUOjOitWqNJQEH3VOdCZYw92-KI9dtpH","LimiTless0727",20.0,83.0,58.0,false,false,false,false,,,,
"b6b454e4-f9df-49b3-9641-6a0bb2730efb","RANKED_SOLO_5x5","DIAMOND","III","t_tVmCJkf4ENOhPS-CR_1pzfNtUYcOXTddS6fvpLoRO9uJaC","Perfect Time",78.0,58.0,54.0,false,false,true,false,,,,
"3a78614c-c9b2-46a9-b2c2-af1a1172b5a5","RANKED_SOLO_5x5","DIAMOND","III","nNrXey53IFdDJgq7WsQUgMLDJYZfWmIBUwy2m5y79Eu2NtvF","Farlige FiskeFar",57.0,176.0,188.0,false,false,false,false,,,,
"cc78b8c9-c226-4d94-a2d5-d8b199009f40","RANKED_SOLO_5x5","DIAMOND","III","i81UhOVeaM1IRmMi2bAXP-MAZ8m-NXH2AP-n83RxeVNSajYe","Zuuky",0.0,84.0,94.0,false,false,false,false,,,,
"ade103fb-f7fb-4ca5-bbe1-c3a95b4a219f","RANKED_SOLO_5x5","DIAMOND","III","cBjLNVH8HwVNpFtcyfNI0HrKmD1Asy0kawwvydZ9e7e0LYH2","Unknowable Pain",13.0,123.0,118.0,false,false,false,false,,,,
"74841f58-0c96-472f-a5c5-4cf71247a5c8","RANKED_SOLO_5x5","DIAMOND","III","s_w0y3L-C8v39IOsjWh0TCk6nvO_Kd0s941HNGgcxRAqnTnR","rXn St1ng",38.0,215.0,201.0,false,false,false,false,,,,
"ade103fb-f7fb-4ca5-bbe1-c3a95b4a219f","RANKED_SOLO_5x5","DIAMOND","III","1OYrhAVzLs-3TgDaLepEyAEiWJjgkBdUHrNXzISnQofD2wTC","Turkish March",75.0,94.0,99.0,false,false,false,false,,,,
