/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress,/AccountIDs
"3db1f940-2949-44ec-9ba6-55509013266f","RANKED_SOLO_5x5","DIAMOND","IV","zYSFYKe7cILDVKYoXLEedCeIJNKS-TnA8VNeJdZmyfSG4yHU","K1K1K1K1",26.0,45.0,38.0,false,false,false,false,,,,,II0sQ2uXPM_g0IJcr38v5qOjFxY-gtEpZf7xn0nPzT_GyVg
"c54c4418-10e3-4b9a-ad49-039cf31fb15a","RANKED_SOLO_5x5","DIAMOND","IV","dHk-orZP1majz_CUTuO4DSxmwrzuxQ0jakOlZhsIPHAACbRf","Radjan",32.0,30.0,24.0,false,false,false,false,,,,,Zh8zXvrz2HQ71p38MaJWbLSujSDXbB2ZG6RedRrdG2F7HwA
"eb26533b-911b-4c4f-b62c-c9787f6a862c","RANKED_SOLO_5x5","DIAMOND","IV","Cv-yAk4gDQh7XG81rjIabzp7nzJIpm-H3XmPAgkpXqLoL4R4","Little C",0.0,174.0,163.0,false,false,false,false,,,,,Ks-mPpqo8XGY9UGVI0P_T1SiG8d9FxeOmSHQI8lKnVF1fec
"6b9f6940-7587-45e3-a6b2-a5c33819ec20","RANKED_SOLO_5x5","DIAMOND","IV","Q8GfqBExeSnh1JsNfzwJT2Gs2aWKJ3Z_9ajsswEjIQpmIawB","bLankkz",60.0,106.0,103.0,false,false,false,false,,,,,iNhzqRniOl4FoyAlQTv1p5qjfQ2IkKJyB9gMnFlsJcF25kc
"3373e7bc-76c5-4c03-8b01-18bc26d3c44a","RANKED_SOLO_5x5","DIAMOND","IV","Ryqfc6Ce4LQiVS62PLDQDv5kqz-6WEJanLVoIBAqhtjIvHdl","SS a MaeI",63.0,109.0,120.0,false,false,false,true,,,,,8X3eHW6nBSdqOF8PziQAN0tPadRgr8gLVgvuSDHbjEYPfCQ
"88ee64ae-52b3-4ec0-a92f-ed8b6b0ba2ae","RANKED_SOLO_5x5","DIAMOND","IV","CYidAbYoIUNZfHR2DtO44coL6UcdMisF-D-fxxYwzNE_BML_","you are awesome",0.0,159.0,169.0,true,false,false,false,,,,,g56AFM8lzdAc-d7F_4-pgA3GojrPh2eurFTIeFMUdOWW2QE
"fb533388-766c-40c3-b862-47dd13f187d3","RANKED_SOLO_5x5","DIAMOND","IV","uzHATWcVnr2JaNOXJgVyU8rcc8Z1PS4yXYOQfXUjEDRjgDEz","xKniven",1.0,27.0,18.0,false,false,false,false,,,,,4mFyIee5BsrXR6OFbhFrHyc_BzqkGhF1x3trnw8zHWbiYWo
"bd618839-01ad-4445-b702-68fd340baa46","RANKED_SOLO_5x5","DIAMOND","IV","RwW2nwRgBsBQjRzvbefvOlo8USqrNyDGHmtXDfw_UL37W1nD","Barham Sálih",0.0,75.0,84.0,false,false,false,false,,,,,4tBROsca4uhVLQAll7I69eC4LWtROS_9zkIG9Fp1Ve6-3N0
"77a0092c-1f0a-4a17-a75c-a04e37823b03","RANKED_SOLO_5x5","DIAMOND","IV","_p8k3iCXxfcLQEtXCy707Jm1BzHttkr9CDe76gLlvQtfvD-I","Ageonect",40.0,46.0,33.0,false,false,false,false,,,,,zDUZ03Y7AHQXNx9xDmZ5PkOuzpGXZ00vGk3uTMhETrtmo1Q
"b5729270-a6df-46d3-a2e1-51969cc1ae20","RANKED_SOLO_5x5","DIAMOND","IV","FqGZpRQoU-sYQx89zCDTNaxI0STM0qPCBq2GuEZr8ElKkBpb","Iiuz",0.0,71.0,51.0,false,false,false,false,,,,,E1q5X8OiWDKaPHhpVt8CY5DJhLlqP0ZN_yHKM1oKUPUMRQo
