/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"5da0fc9f-3164-4463-9503-f70f5d0514a8","RANKED_SOLO_5x5","GOLD","II","w32ns1TGVdFTxKvkvPmO_pW1Jvdc1xzHZvfOv8mv7bOqL-yx","DON DHABI",35.0,110.0,90.0,false,false,false,false,,,,
"4e2c4cc5-df1f-4299-a260-26dda98a0bb2","RANKED_SOLO_5x5","GOLD","II","9oDPLNOeyDQjctpdP8QO826CQUsq1uxxfaQsP3ETTgsSxEEb","HiKaRuuuuu",100.0,61.0,41.0,false,false,false,false,2.0,1.0,1.0,"WLN"
"bb367a03-bad7-4a55-8518-79bb037bbb02","RANKED_SOLO_5x5","GOLD","II","6peBDWpS4BZUmqidTbh3w6rhpsNPHCC30pWjd031yMRnIo8c","Sezerushh",0.0,47.0,28.0,false,false,false,true,,,,
"0a982d03-acac-4ab8-8fdc-80b8bdd3df17","RANKED_SOLO_5x5","GOLD","II","BMcO6sS_5duQy5v5aJr0mlmAvhGfvhcOSfp09sTiwrMGy2kC","foop2legend",73.0,13.0,9.0,false,false,false,false,,,,
"447f0b55-f6db-4281-97f4-7f71fbc8e4a6","RANKED_SOLO_5x5","GOLD","II","5krWMMndk0r-E8mUSD4a0u0wGnyL__hhBq1Szqz93oZ3cOcm","Amber Moonlight",77.0,34.0,35.0,false,false,false,false,,,,
"35ad0e7c-984b-4686-a96b-558d28ff92ba","RANKED_SOLO_5x5","GOLD","II","x_O0FGuyrjNt5xW8dU50wXCvUnUPAyV__FJpKJsBQ1L4fA8M","grëgo",1.0,4.0,6.0,false,false,false,false,,,,
"5ba467ef-e4d4-4f9e-9ead-55a47f4c3711","RANKED_SOLO_5x5","GOLD","II","lqu36rgDUX5_hSC4e2GoGbtiqLkAsJwtN2VYDBknxPc-DvOU","Simodevereaux",2.0,41.0,52.0,false,false,false,false,,,,
"7716b8c9-b6a0-43da-9497-68f19d8c0a3d","RANKED_SOLO_5x5","GOLD","II","XaMB1AQR627pV2DvEw79lFB8BliBa3KPfh7JtXfwzJ1hfdMF","Auroxx",39.0,94.0,86.0,false,false,false,false,,,,
"6aa013e2-1cad-465f-bf71-491912528ec8","RANKED_SOLO_5x5","GOLD","II","US90PreYK0GtXohWbnrd4v-AfRkJtQLW304eWyQjAnsXTmaz","Kachiga MY Niga",47.0,32.0,37.0,false,false,false,false,,,,
"8350188d-0ccf-4de7-8350-62eb8a9f5f51","RANKED_SOLO_5x5","GOLD","II","KySJuXvK7X1QDrrsdyJTotl6-G6z_NydC4_4DIQlHbqX35GX","Itoniumek",89.0,54.0,63.0,false,false,false,false,,,,
"51b67899-0684-4bc6-8260-7869dc60c3b3","RANKED_SOLO_5x5","GOLD","II","LrL2-m_jIroMQU_OzHLMPYh-Dr2zLtsMRFn9EA3v-YTpkFwW","lLithora",0.0,142.0,112.0,false,false,false,false,,,,
"77836d03-bf50-4a39-8f90-d0541f827b32","RANKED_SOLO_5x5","GOLD","II","uhbQ7B-fITTMKBeGK-eJ55kR7vNOC9QQ_ddR6Zs9l1G_ElAs","Damarlı Dürüm",40.0,43.0,35.0,false,false,false,false,,,,
"75584640-bda5-4811-87c1-f78c77727cd5","RANKED_SOLO_5x5","GOLD","II","ujLh7essviedcSMMzMyX5E89wvnFewM6NPRUdgHaCqYxNeVe","WildTemo",0.0,121.0,96.0,false,false,false,false,,,,
"cfabb29a-82a5-4c56-b4d2-25bd2e51c05d","RANKED_SOLO_5x5","GOLD","II","XB92dpLHe8ZdC9DtG0kcMcJCMVe-Gm33tS1Tn8Zho7Ujeqiv","CuteTrixie",78.0,52.0,44.0,false,false,true,false,,,,
"c6b43c63-9300-460e-8546-40f343a4b3f6","RANKED_SOLO_5x5","GOLD","II","n5S3ZffmvkJVaBEO219cMStaAkX6MFlBEnGREbwEr5ZSrPE8","BoostedAxton",13.0,167.0,165.0,false,false,false,false,,,,
"79376dbd-8748-49e5-9384-b8bc89a2727c","RANKED_SOLO_5x5","GOLD","II","N_NJokz3IXHCycCjE_CcHWU03a6N-mSslrscTbty-OHfNW_u","Bílly Herrington",0.0,10.0,1.0,false,false,false,true,,,,
"7cea2eb7-6356-4eec-bbfc-a32f82a174df","RANKED_SOLO_5x5","GOLD","II","EaFpwaVClZBGNbu3I60ZFelhoF6E8Wlm_KXySbs9AHn5CXaX","Molly Parker",0.0,14.0,22.0,false,false,false,false,,,,
"d94ec450-f7ba-4a63-89f9-95d0a1ea9200","RANKED_SOLO_5x5","GOLD","II","2HlFP1ZgOa8xVWuRXC_Ja0HXWK5KpFhq0hXI-9ORhtwh1vqJ","Machonacho1",65.0,80.0,57.0,false,false,false,false,,,,
"fbbbe091-0045-4b9e-b0cb-38a338e097fa","RANKED_SOLO_5x5","GOLD","II","FdNNlLqsOSgW4NJzw5nsUm9QmmercrvimtQjUcKLm4086fIk","Roeslin",46.0,87.0,84.0,false,false,false,false,,,,
"fc1ea707-83f2-4b69-802d-9bc6f5b59631","RANKED_SOLO_5x5","GOLD","II","lLOnewsnWhRPxrknemDACB9ifWgENYKnkpcvvCSP1O5umh4C","Koncrete",62.0,31.0,32.0,false,false,false,false,,,,
"fb4b8984-d771-46c1-b03c-50a4b3ee6338","RANKED_SOLO_5x5","GOLD","II","ctBFCzsG4I4TL9RToMsqgL45g3h54mjlINjS3_6GVXGy3ech","D e s t i n y ˉ",40.0,1.0,12.0,false,false,false,false,,,,
"d32369b9-4fef-4f3d-b8db-d36a42f54507","RANKED_SOLO_5x5","GOLD","II","un_dVZgc23MgV2gurZ0WecjJb8-zzO6ypQPGtgu4ylpZ","The Croums",57.0,82.0,105.0,false,false,false,false,,,,
"5b55bdfc-c288-46a7-8bf0-ba32e1652a65","RANKED_SOLO_5x5","GOLD","II","Xvjtymq02DSgx31Ceq9oqllfQ2sXTHLOa8H3o7ncIzdp6uFv","OGT T1 Henne",81.0,71.0,54.0,false,false,false,false,,,,
"35fbccbb-819f-4d06-83af-bbeca0803c82","RANKED_SOLO_5x5","GOLD","II","W8yyjAiFocBSMrU3F1jEEIJwqJC-PbM07YHtZIIp1sJ5y-oW","ImANinjaLZ",100.0,31.0,30.0,false,false,false,false,2.0,1.0,1.0,"WLN"
