/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"45216aaf-b358-4c95-8255-376dc7960b98","RANKED_SOLO_5x5","GOLD","IV","qzJblyQIuyLOQV96co0T0m6MnRCqxy64wsub0izAtxupuCT9","Bl1zzzer",0.0,122.0,98.0,false,false,false,false,,,,
"9145fb4c-bc7a-4710-b210-3f2d13271288","RANKED_SOLO_5x5","GOLD","IV","hL8IDlYZ28GGsub5k5a1-_q5ktgOw4V5jWbaxKFDsljopj4c","G7bu",33.0,28.0,35.0,false,false,false,false,,,,
"6f23f2c7-a94c-4773-8677-98fdc7c7787e","RANKED_SOLO_5x5","GOLD","IV","WBNqsTWVZCigaObPDRcOlMonZdYOvKewVXGDWaNzoDDTxVaj","Sagrestano",55.0,34.0,41.0,false,false,false,true,,,,
"10b92f58-2d39-4c3d-9460-baeae60e64ec","RANKED_SOLO_5x5","GOLD","IV","BiTgXAFlY97pzxdkNCeAO0tN3F_GkWmLsDY4SyAxmaGoJyFe","I LIKE FLIES",58.0,33.0,25.0,false,false,false,false,,,,
"93a2fbed-4d56-4bc1-9605-b037c34e2caf","RANKED_SOLO_5x5","GOLD","IV","XID79nvYjX9WVayQT4UNOY4WNNQPc3gsYcKi_yjsgQ7B-Xsh","DaKin Kowine",36.0,76.0,62.0,false,false,false,false,,,,
"e95b0e06-976a-4fd2-b010-69d6c8420862","RANKED_SOLO_5x5","GOLD","IV","ZCQjwcM7vIx9NAEUo38Ece6FjRrpyxBLCNqgi3_smS9YK09B","ninjajon",24.0,52.0,63.0,false,false,false,false,,,,
"e4f6e201-ab45-45e6-931b-616c1a1309d4","RANKED_SOLO_5x5","GOLD","IV","8xg-Jw84nA66T3DNOZCRja7rhcsNLR7Fuf4BL5dRbdSFbTyc","Ellermann",66.0,33.0,56.0,false,false,false,false,,,,
"a2c14b54-abb5-4f4a-92bb-60545410ca85","RANKED_SOLO_5x5","GOLD","IV","H0_s8pL5jSy9sdk3It1OxOamj_TfiIzU_pb2XKFbyD9FyJMi","some coochie pls",8.0,54.0,55.0,false,false,false,false,,,,
"fcd388cf-3724-43a0-94b5-c621d90c44f0","RANKED_SOLO_5x5","GOLD","IV","QepShZAxEh3z6iTWehnVsv2ZUFEeHWN7jtJL18C-qo8ulGiW","huni fangirl",99.0,25.0,27.0,false,false,false,false,,,,
"0b9184d8-94b6-4ecd-a730-2000fa358fe3","RANKED_SOLO_5x5","GOLD","IV","jp_JLYLc1kNuUEQvq0wReNUAq1Ok66o8VqdaR5nv5lf0-QgQ","Nikkixcool",100.0,13.0,11.0,false,false,false,true,2.0,0.0,0.0,"NNN"
