/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"1b599fb3-f6c0-4844-9273-8a23207bebb9","RANKED_SOLO_5x5","IRON","I","EPGN4TYBpuY47cOH0GHUaJmGYNJ6qxgDOt0Ed3Rl6GG_jqnG","kelzod",7.0,14.0,29.0,false,false,false,false,,,,
"63891e40-cbd9-47ea-aacf-b38c8fb5486a","RANKED_SOLO_5x5","IRON","I","3knQFQzhCJdbEnWTDh_hM03hyB_XmqTI5RCLRXZaRwkNbPQ2","PØLLE",21.0,28.0,40.0,false,false,false,false,,,,
"c389275e-c74f-474a-ba49-854a3bcddd10","RANKED_SOLO_5x5","IRON","I","fwmyOkxjVgo8PJMKp_uHV3sPuGuVt2kOSE8dXlNwhXu9jqgA","Hasabbi",32.0,6.0,12.0,false,false,false,false,,,,
"cc89479f-b871-470e-b0b6-91fc2add3065","RANKED_SOLO_5x5","IRON","I","LZy_D4dVaWG0CfTtuXXTYTdBG22tz8cweBy9--uRzYs06_ZV","Totally New",0.0,8.0,7.0,false,false,false,false,,,,
"10f56735-f28a-4839-b29c-d275beecc5e3","RANKED_SOLO_5x5","IRON","I","-q1HQvwL6QM5oDgETZne9HuoHVjXXMEM3ZhuHJhMdhe5e6XL","sebbelinDK",0.0,17.0,17.0,false,false,false,false,,,,
"10f56735-f28a-4839-b29c-d275beecc5e3","RANKED_SOLO_5x5","IRON","I","KAzQEiw33Buk7IFp-qA2pynIX3w4jkOq2KgdVQCwEZal5USd","WOLFkingdk",37.0,20.0,20.0,false,false,false,false,,,,
"218408cc-fea8-46b3-9ff9-8b82d0fed016","RANKED_SOLO_5x5","IRON","I","B9welS-Q7gztxhm9Hi28r0DeV3-gSXlBdQiPNjNZikufxDgl","Miałczu",0.0,4.0,7.0,false,false,false,false,,,,
"15b2fdbf-9da6-46e2-80cf-b117d8213711","RANKED_SOLO_5x5","IRON","I","EhhSG-DDE52_EdW8mlaWKYbxD_wiw-B3jiAUEEcqDygkF9gr","blahurk",53.0,5.0,5.0,false,false,false,false,,,,
"e161e5e4-2715-486d-b362-3619c69b1434","RANKED_SOLO_5x5","IRON","I","KWcDEDj4qmDhpzv-9msxW-FtCG2E9YRBmBIg9SrDzy4NuipJ","ZeraksDownfal",8.0,16.0,27.0,false,false,false,false,,,,
"2b125407-5dcf-43c5-b2c6-bf835250f33b","RANKED_SOLO_5x5","IRON","I","yyUM6etuAPlLnuRhTurepN_quPDTQ5LeJ500tX2hWfw8bzg4","Highwire",100.0,10.0,14.0,false,false,false,false,3.0,0.0,2.0,"LLNNN"
"923642ec-d13f-40ce-8737-0c63ab10e6c6","RANKED_SOLO_5x5","IRON","I","U5HpZdCSmmRJLHvZ1hvg23FAlpJMe7JMSCyBffQZQtEryQVB","ja tu wymiatam",28.0,8.0,4.0,false,false,false,true,,,,
"c8325b4a-cc5f-4a7b-abcc-19765cb8dae1","RANKED_SOLO_5x5","IRON","I","A5TXNFbpkz_EIryjoo2CGNHVxJQfH3FiLT0rFpafKUXS0fYd","H2k Filsok",3.0,4.0,6.0,false,false,false,false,,,,
"b2bd57f9-eda8-4bdc-91be-ce4423c8b2c7","RANKED_SOLO_5x5","IRON","I","yGXlUBfoS_sHUl6uM5QKKjo1E7hL86LJe50ms0qfrCsEeda1","9690",6.0,1.0,12.0,false,false,false,false,,,,
