/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"fb11436f-4a29-4667-b85f-1c0b240ec020","RANKED_SOLO_5x5","IRON","II","gVAVRIT04uTVFoabmstTksiA50bnbiw5NDlCsmbdkQhJrbYE","HZz Turco",19.0,5.0,7.0,false,false,false,false,,,,
"6374f115-e7e0-45c2-b40a-d4dcfca3a6e6","RANKED_SOLO_5x5","IRON","II","8Yk7M4z1_pNav9n5k2ZW7RQwm91fKifj3mYORZ8uCXeBGQpf","homod20",54.0,25.0,14.0,false,false,false,false,,,,
"547e3162-d180-46ab-b6cc-f889262de219","RANKED_SOLO_5x5","IRON","II","bEJ4Cp7Qsnw-vO3IkZFbzfAGoUWxU_768CWoDJzCEGtx90B6","SR9726",92.0,3.0,9.0,false,false,false,false,,,,
"0ba2da38-c416-4c2f-afdb-5a8b07761eef","RANKED_SOLO_5x5","IRON","II","-ok4M2tZplIJ7DEyLugxmEG-6m_YaY88xgrWU3dl41GFP07I","JavveLin",61.0,7.0,5.0,false,false,false,false,,,,
"833e1659-6c58-475a-87ed-718114fa1bb1","RANKED_SOLO_5x5","IRON","II","ksjseOW-kt07UaS6hNV3Vk3BO8cEtXsUrPmqXQ4X6ue_JSvX","Bladeless",6.0,4.0,6.0,false,false,false,false,,,,
"de37fa92-d07c-41c1-94dd-fcbdb6c90c96","RANKED_SOLO_5x5","IRON","II","W5y_0zhIhYIvg8cE6hmBh_2YY7ND-pqSnmKNZc3DElpxljC8","Biwoe iYD",89.0,7.0,3.0,false,false,false,false,,,,
"4b6be0ec-d10e-4a45-9b35-718be8c8bd4a","RANKED_SOLO_5x5","IRON","II","WOGZ6xSdf442-EgeHyfDS12Cqatt4PBkX7SdpvNJ5I6ZGu2I","Hawash",4.0,7.0,13.0,false,false,false,false,,,,
"9643a923-8812-4582-be8b-cce5e414176c","RANKED_SOLO_5x5","IRON","II","L2ghHj-MUW9UBxV9s8c_kRyWT-8_ZyRZLa2JkDHlSlcTjM4L","Saito4ever",44.0,14.0,17.0,false,false,false,false,,,,
"ca28c8a2-1ad4-40ac-9cef-cf44865697d7","RANKED_SOLO_5x5","IRON","II","XGf_lVfdNNsD3-GafBI6XN4ARU_TKbXfa3Tzd27JAJkAIc4A","TheWinnerGammer",0.0,13.0,27.0,false,false,false,false,,,,
"566367a6-783d-4493-8db1-b69f7b866e43","RANKED_SOLO_5x5","IRON","II","SQ6al6K_8ZeoPSp-qr0vcnTwHonFgUXJrxU7GQ36IXgWMBM2","Amir69003",2.0,4.0,6.0,false,false,false,false,,,,
