/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"aac7f1a0-abeb-4fed-888d-196abb0b832c","RANKED_SOLO_5x5","IRON","III","siGQd4WExF1a21aWyo8fwxHLBuB6onp_9yTsWyTS7O462YPo","K1nG RagePot",44.0,3.0,9.0,false,false,false,false,,,,
"2a0f0ea9-309e-4dcf-9f50-4df8fa2693b6","RANKED_SOLO_5x5","IRON","III","P2SMGmAtQ5O2iU398EsBIhJAKQnVWJj5wdk8OpECR4dgpQ7B","ahmd90",100.0,6.0,8.0,false,false,false,false,2.0,1.0,1.0,"LWN"
"e943346c-1367-4193-ac8b-f2e1dcfb5ed2","RANKED_SOLO_5x5","IRON","III","jyy926rsXicOSBRHg4DisDhOew9KUi3pvWcm3jGAbBsnYNZu","xx BIOPHILIA xx",81.0,6.0,4.0,false,false,false,false,,,,
"39f8b3c4-c5f5-4651-ae35-34bf2ee34f95","RANKED_SOLO_5x5","IRON","III","PMsuuqfAIbAqcIxkh2uMbbJ6SJcjh5b2Vj-UFCGDRkrP5SpU","LoneWolf974",50.0,7.0,9.0,false,false,false,false,,,,
"dfbf8b9f-1124-494c-9c26-b5007d973fe5","RANKED_SOLO_5x5","IRON","III","v15EjMUNkH9qfmopWoqc7DGjULO04lrKWZSFjPN_O3h748ou","black soldier 03",100.0,9.0,16.0,false,false,false,false,2.0,0.0,0.0,"NNN"
"1e421be5-68e8-49fb-b2fe-69e664c8b052","RANKED_SOLO_5x5","IRON","III","3IiU_12QUM4elc3qmgP64YHngaWLUsx4PxxhU-5mUFxp85pk","hfboruto",74.0,5.0,6.0,false,false,false,false,,,,
"95ffdfae-9f7c-4625-bc8c-7db67dc83dc1","RANKED_SOLO_5x5","IRON","III","iSRJSbtT63v3yqIMl5usXLnfsvPRl7QM9YJDx5fnF9Y2Ehxs","krstos1",26.0,11.0,16.0,false,false,false,false,,,,
"9496b021-6587-4ea5-98b9-4e633bde40cc","RANKED_SOLO_5x5","IRON","III","HPN5okuKtUVXG8JHh6QovIclRNLh2U2tzBdZRcdpo4grg5se","Rectooz",58.0,4.0,9.0,false,false,false,false,,,,
"1d6cf311-1ec6-45f0-9b38-b9cefec82a46","RANKED_SOLO_5x5","IRON","III","5xOKK6TFx36v8Mw-FU8aVDO97CvKw9a5xHDKmAhTVunechFN","C9 Tigermis",54.0,13.0,23.0,false,false,false,false,,,,
"f2af6379-c70e-405d-ae31-fb888112b6e6","RANKED_SOLO_5x5","IRON","III","8IH1xXf75F0uv5ZUZx3DTO4_jS1kPTTh80Bz1iihUYQ6zvXd","HellHound21",54.0,6.0,6.0,false,false,false,false,,,,
"07e35870-a752-4b01-bb1d-a49f98b90954","RANKED_SOLO_5x5","IRON","III","bFb_o_ZX0AUVdGWfzV4fDaRChs9j8JkXfdiGBt1h-K5nOuNN","theDRAKE11",79.0,6.0,12.0,false,false,true,false,,,,
"d0e90d86-cbf7-4043-9015-0b4f04058aed","RANKED_SOLO_5x5","IRON","III","jVLTEovCzD81LiSbPeZK-7IBCgkZRmyqSpCmkw8G0NK1Lrzf","Gwindor172",36.0,50.0,58.0,false,false,false,false,,,,
"d07fdaa7-ed16-4eda-a37f-1b7941c3e798","RANKED_SOLO_5x5","IRON","III","ndiJlP8lOg7JTk0ea_KBVPrlRUsRHQvyv43aiUxFLe0NCiSx","Mattia1101",75.0,34.0,50.0,false,false,false,false,,,,
"529a8484-7399-4f47-b577-df03f0fb2bbd","RANKED_SOLO_5x5","IRON","III","CHU07SqKSxTDbJ3w1n7sPpn95Ae2qAUNS6VLQjtFEvf3ctbK","caxcho",100.0,27.0,23.0,false,false,false,true,2.0,1.0,0.0,"WNN"
"31162bc3-3ed5-4a32-9459-0c6fce7ccca9","RANKED_SOLO_5x5","IRON","III","Wubvgi9GavOmhVEbLa50QCiYB9BJ_iM0_uO67GWs4SV5BWBB","VampireHuntSword",52.0,13.0,8.0,false,false,false,false,,,,
"6cff2c71-9582-40a7-ab99-ce068db2092e","RANKED_SOLO_5x5","IRON","III","lf31mIs_5MlCdcOqa_jXU_o07hjCvn2NuVy8QxZJoLnEz9U3","yRaqe",7.0,2.0,9.0,false,false,false,false,,,,
"32cab097-5f9b-4a22-84d2-75fea10bddee","RANKED_SOLO_5x5","IRON","III","DQQ06lkcwtflqUYK1p5WzZxaiEz8v2AHWd4i21MLZ2ecCkDY","ButtPOUNDER69",56.0,4.0,7.0,false,false,false,false,,,,
"8b552156-a75b-4694-8826-a5bbf89a133c","RANKED_SOLO_5x5","IRON","III","TE7SjOasCrZHJqygJYj3c5ZVFuGiuyZqbW6fqtHFKYvbfA7X","DikWaggler",32.0,82.0,104.0,false,false,false,false,,,,
"4dd9b970-66df-48da-9e5a-c661a91e1f73","RANKED_SOLO_5x5","IRON","III","RNLeoCzGVQkf9VzmNH3GL0fDd7cK3RVnGkcOXUy6pc8XKQuh","Italy2006",5.0,10.0,16.0,false,false,false,false,,,,
"add02ebe-b72e-484f-86ca-7a4efcd77af3","RANKED_SOLO_5x5","IRON","III","28QPtYahooyZnNvatkULM6sxSgicDAcdsDS0JWb6vV8zwQvK","bast805",80.0,17.0,29.0,false,false,false,false,,,,
"e45a3edc-bf42-405a-b953-dcb86b3b9164","RANKED_SOLO_5x5","IRON","III","MS8i905qH8LJPTcrClXoWRewjozCnLBtnPQHAtexbvQY7Nfh","ADC Bedros",32.0,3.0,7.0,false,false,true,false,,,,
"b1f69f30-5701-4e2e-bcbd-a6eda6bbac22","RANKED_SOLO_5x5","IRON","III","QqQyBNm-nFovahUxhcqH2MEnGhHjVLewugkl_uQBCj2v4v-5","trinitykiller324",14.0,3.0,7.0,false,false,false,false,,,,
"a765d6da-a0aa-4aed-be07-e52f42fbad9e","RANKED_SOLO_5x5","IRON","III","PF4ht0QesIgakIwKeasCOr0AQBLFbO1WhUhz-oajO0RTe-my","Mavrickbeast",52.0,26.0,27.0,false,false,false,false,,,,
"41e271dd-3e3c-4813-85e2-428bd5ff0e9a","RANKED_SOLO_5x5","IRON","III","89Rny807mAJ98qi1O72Cwz3MHXayV-o0ukvQRD0N_TClYBkT","dav1d 370",75.0,11.0,9.0,false,false,false,false,,,,
"cf5182bf-9d3c-4bbd-af25-87840a939d9b","RANKED_SOLO_5x5","IRON","III","mpYFM3sSMv4_8LU3S13xcDOVDMW_SKIaWhRu6GhoCgVJVlU-","Fandreas",85.0,5.0,5.0,false,false,false,false,,,,
"d9fc7677-4ca7-4fca-979a-97639f26efe1","RANKED_SOLO_5x5","IRON","III","vcKrUHJWysZ4-3DZz1Qa5Q27mqr36J3vtyCskAftKW2XbjqT","AlwaysFool",28.0,3.0,9.0,false,false,false,false,,,,
"ea5ec594-1779-4c8d-9669-612b0ed4a267","RANKED_SOLO_5x5","IRON","III","_-O36B2sdFzXxGpwuFFGPZCe34hgcVErgjoyMVfvF7LokYK-","ZAMAN59",56.0,6.0,6.0,false,false,false,false,,,,
"33327cd4-f40b-452e-845f-0bf74f750331","RANKED_SOLO_5x5","IRON","III","PdCkt-7csz1GIhbpUk0KB5A3dAOEYnaUUkH4B7uzg6IHvsgI","KilleR05CoLa02",0.0,13.0,11.0,false,false,false,false,,,,
"b6a8e84e-e6a1-4e04-9e4b-96ab77768748","RANKED_SOLO_5x5","IRON","III","vn9tPgMPNX20q3bhg6w-8-UJqHbgxaN93oxn7E7_hz_dNg-n","iTwinZz",100.0,9.0,10.0,false,false,false,true,2.0,0.0,0.0,"NNN"
"96eaa19f-fef5-440d-9bcc-b7bb7890aaae","RANKED_SOLO_5x5","IRON","III","H8O8VYEUCGF11X5-314Kj2POG72TXe7cRhgJ8NptvmMobM01","LeJur",59.0,3.0,7.0,false,false,false,false,,,,
"d99bd8a1-e114-4744-abf7-7b3ff02ade9a","RANKED_SOLO_5x5","IRON","III","uDGpjGkgGGb_JJ03S6MMq0vd7wKvkA8BBxCwLocz5vBYe5ja","Soralz",63.0,2.0,12.0,false,false,false,false,,,,
"42c01a5f-6ed8-45f3-aafe-00000f0cef1f","RANKED_SOLO_5x5","IRON","III","eg4jKCHqtueRLmmHUZ_f-HOqBMJtqc2V00mWyRqOoObVXxaG","txm0n",21.0,29.0,53.0,false,false,false,false,,,,
