/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"f36dc67a-1141-4631-9bee-2cc10c54f138","RANKED_SOLO_5x5","IRON","IV","9uvuvrxe_locKQyCUT1KDgwV96DW2TZbmQ3L4B87CGrgXUQp","Farenheit11",36.0,16.0,47.0,false,false,false,false,,,,
"d138a4ca-0a9a-4da6-87e4-65e54f4dc9bc","RANKED_SOLO_5x5","IRON","IV","eWg2IZuyEuNaAXIr20RauPbTutbby9Spz1qA54PjaDykz6SQ","Brasilienwille",0.0,7.0,19.0,false,false,false,false,,,,
"c36f6ca8-2c76-4049-8207-a073dfc7d525","RANKED_SOLO_5x5","IRON","IV","qRn9zGg9--6ij7bOOXZG2zdIOnq3YYdNHfEhbDZYZNvKcQa_","DR procktor",30.0,15.0,19.0,false,false,false,false,,,,
"ccfccd88-bdaf-454c-bedd-c15e2707c413","RANKED_SOLO_5x5","IRON","IV","R90Xj91znSsvARuwenVomXvJE_hWbdwSv4ZraCBjGjD6ROmk","KleiberHD",22.0,19.0,27.0,false,false,false,false,,,,
"bc78aa0a-d467-4150-8a8c-f922eef57142","RANKED_SOLO_5x5","IRON","IV","pqMM08CB8Dz70tPbmQ9TNg_caR_skDUrmeRFrhnbljcrZ0VH","Ch1gui",0.0,21.0,40.0,false,false,false,false,,,,
"19d2feaf-d4c7-48ff-a345-9db5e32e292b","RANKED_SOLO_5x5","IRON","IV","8OBB8HCX0sVW7xtK6E-YyWb_w7RwS968uV43pxOBJ35OGKSK","PKGalac",3.0,1.0,16.0,false,false,false,false,,,,
"d0c93701-6ebe-49eb-a9ed-c244e59ed8fc","RANKED_SOLO_5x5","IRON","IV","oFBU9e1JXPbyDRVFlCNdB2SvUBizcXObmAaHcSF94lSVuoZe","Santosbr2",79.0,141.0,154.0,false,false,false,false,,,,
"a110ecc7-6e7d-46ca-a2ad-cc276dbd9e9b","RANKED_SOLO_5x5","IRON","IV","UoWWEAWO_EC6PN2kWmScVUCvoiu6CaoLbKHncIinuFjoFv0Q","SniperyWaffle ",12.0,11.0,27.0,false,false,false,false,,,,
"37877f45-fc1d-4e7b-bc14-c1a529aa6bad","RANKED_SOLO_5x5","IRON","IV","ApUQ0S75zEnp4YIOHKGDlVgntWHsx7VN_ODLXdZwHOwVyDPl","Boruto187",82.0,3.0,12.0,false,false,false,false,,,,
"d177d45f-8a0a-4800-8f38-d1e940940411","RANKED_SOLO_5x5","IRON","IV","GsSspCEQY7wjXhU0zN43CdmZhdX0algLnzUigyv1ETf7W9OI","U66Y",90.0,54.0,60.0,false,false,false,false,,,,
