/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"4068795e-a761-49b5-a47c-183493cc1991","RANKED_SOLO_5x5","PLATINUM","I","KJ0PSiyWXJgOGf2T7rJliYVmu7NdYviHb3hdGC8Vkw2nZMDf","Scorty LFT",0.0,7.0,6.0,false,false,false,false,,,,
"d87e96dd-ae18-4074-8932-a6df17a23d5d","RANKED_SOLO_5x5","PLATINUM","I","HbAm-AcKsLbSwRdwv7x95cAEpv5SxudILc5fa01lhxXj-gTX","ZiuBsoN",25.0,95.0,82.0,false,false,false,false,,,,
"5f1be283-bef0-4109-84d5-8e3a00c4e49e","RANKED_SOLO_5x5","PLATINUM","I","rRrCw8p-d3JfLaa52WjuESNlgKg6G1xJDsHhAGrKh77K5dnH","Born to death",62.0,4.0,10.0,false,false,false,false,,,,
"59e65d86-95c4-4b01-9b88-764ec74ca060","RANKED_SOLO_5x5","PLATINUM","I","uulDTmZlyZ3A5vcQTX2osEhF-VS_XgOFz5d6RdwGqTbQuemE","Javris",40.0,27.0,35.0,false,false,false,false,,,,
"7598adad-a644-4630-8076-e2a51f990e3b","RANKED_SOLO_5x5","PLATINUM","I","-WJfQTrGnujDrVT5hhHfya_MCj7t4m94Jh4rPde4UdpEQkvy","mmnn",0.0,14.0,10.0,false,false,false,false,,,,
"c94ac89c-0e48-4c5d-b811-00a368c2a7b6","RANKED_SOLO_5x5","PLATINUM","I","5Ii4dm_SgWiQgAXuzwcwnHB4RxJEHmYq_1od9XjsItXehziH","Real KMS Hours",100.0,25.0,25.0,false,false,false,false,3.0,1.0,2.0,"LWLNN"
"68c2393f-7f24-46d8-959c-dd54ec77d0ce","RANKED_SOLO_5x5","PLATINUM","I","SmIeiZrXokCeP41pl_bTsL_tPYnb-nAOVNKmAORiDqrlfGbn","DPI50",52.0,39.0,40.0,false,false,false,false,,,,
"73c3339d-ce0b-4521-a0f8-8d9428e4f3e9","RANKED_SOLO_5x5","PLATINUM","I","vZ7DO67yPWVKe5OU2_Siy-h_FMnXFOtS2y_XxZvWTelWXuA2","Catch me in Bush",40.0,14.0,23.0,false,false,false,false,,,,
"758ae740-c52b-4b34-8104-5ed2dc4974c5","RANKED_SOLO_5x5","PLATINUM","I","BLISo-CcrEFJlTVMH8OXubV04zglH2qSB4syHanv46Dfxu0C","Plank Me Father",43.0,17.0,10.0,false,false,false,false,,,,
"27368261-7894-4401-91d5-55da91ddeb4c","RANKED_SOLO_5x5","PLATINUM","I","3pnlGVOaxTX2-iM5toGhkEOWcG3YuIb2m8lVCnxybg0YHssb","Kfc Manáger",75.0,25.0,13.0,false,false,false,false,,,,
"15c2813a-14ae-41e4-bd0c-2258f2c89038","RANKED_SOLO_5x5","PLATINUM","I","iHSpDyWeyU_30ix3pKdLyPjWQXdZErMn5U-Jtjt15tniKJ1q","Loternop",9.0,14.0,16.0,false,false,false,false,,,,
"e11e6f6c-c493-4c3d-9a2c-b29ee182fedb","RANKED_SOLO_5x5","PLATINUM","I","qV9RYerYOOYOtBIrp4YINz4syT3txqV_usfkdMrnVIC_BMzo","SOGD Dnesi",41.0,42.0,34.0,false,false,false,false,,,,
"23eeef47-ff4a-4421-9a73-e0bbd4983ff2","RANKED_SOLO_5x5","PLATINUM","I","D23jy5kSWU_ySYIsqPl25VOb5m2llbtZ82_IZwMHsVM40vxH","X ˉˉˉˉˉˉ D",32.0,63.0,51.0,false,false,false,false,,,,
"ffaf02c1-0bc5-494a-88b4-40a396cc72e7","RANKED_SOLO_5x5","PLATINUM","I","gvlyEMgmaMM1h6roNZxXUBNImZNm0eo7f0WG1AcD7PhgWJmc","Rultal ",63.0,20.0,13.0,false,false,false,false,,,,
