/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"9f56b237-085b-4c4e-bef4-9ea6d49fa254","RANKED_SOLO_5x5","PLATINUM","III","ggs2pN6ihl0jS5-eiTRNrWos4KJNG0KT02Y6cEQfmWr0JJdO","GAM Ryou",36.0,201.0,181.0,false,false,false,false,,,,
"63a96135-874e-4ae0-89d2-9410f18a6ac9","RANKED_SOLO_5x5","PLATINUM","III","uXZ51wskOa6vrDp0SgQd8SEHFAYf2zxH05gS0CYP5S7CmkKN","Angelic Fury",20.0,73.0,55.0,false,false,false,true,,,,
"134fc579-42ba-455e-981e-cc15611b5082","RANKED_SOLO_5x5","PLATINUM","III","VDrs1QV8m3JLln3DTGdByaRwZ7qtior5rurUTIuhOfDCaYRE","The Heraxe",23.0,61.0,79.0,false,false,false,false,,,,
"d9efd1a8-076d-45f9-ac82-96d3bd2ad70e","RANKED_SOLO_5x5","PLATINUM","III","EUEN_zpgEz6SAaoFfqZ4jO5IfvASTgPBN1qMmbT-0QgoLL0N","In Honor of Mata",0.0,44.0,49.0,false,false,false,true,,,,
"066cca60-320a-46bc-9699-36c8a68b8d03","RANKED_SOLO_5x5","PLATINUM","III","eiTWRoL6ryqgc2zAlWg08rlytghqlLe5f9C29l7bl8mZTE-d","Burandoto",66.0,6.0,7.0,false,false,false,false,,,,
"e3550dd0-78fb-4bf2-9bbe-b4cae7f038d0","RANKED_SOLO_5x5","PLATINUM","III","tFjD3aGnwiU6I-IOiPe2UJiMG_CB7khTSSrGTmRzihFp_11p","MoonClouds",0.0,104.0,88.0,false,false,false,false,,,,
"afe6dad3-0806-42f9-8a15-031fe51a035e","RANKED_SOLO_5x5","PLATINUM","III","uojiJGxFuZoO0KBOsYpkgDygt5Sm4C283M8f5w5X8rxZQxm5","Bewítchíng Janna",67.0,30.0,18.0,false,false,false,false,,,,
"34b9d6bf-2d1c-48c5-80ab-cc69390caa73","RANKED_SOLO_5x5","PLATINUM","III","1tJ-OrTfNSIUkmsm4eeXnCi3xCq2VC8EFjP7hawBBlqxJ2wV","Gutnac",43.0,49.0,56.0,false,false,false,false,,,,
"192aaaeb-c603-4b1e-89f7-871896106df7","RANKED_SOLO_5x5","PLATINUM","III","JCQ96dEC7u5HynKQi64wl7W-S1xVx12-nYw4RomAAiwPaIsT","KimooLee",0.0,66.0,71.0,false,false,false,false,,,,
"f94df30a-01b7-434e-8155-550989c14521","RANKED_SOLO_5x5","PLATINUM","III","G8yG2IYP9stJoh9V4_nJT5taxM9D-iKU_X8fiO6asXCFdkS9","wiewiur",100.0,38.0,34.0,false,false,false,false,2.0,0.0,1.0,"LNN"
"4d0cf1c0-3dd7-426f-8b06-912597b9ebd3","RANKED_SOLO_5x5","PLATINUM","III","jqQKtoi6v5cmOyWZj_eQ6bioeuUbxhYLcjD5ihp_4w3IUls1","Riven ahegao",48.0,13.0,11.0,false,false,false,false,,,,
