/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"600a0cbf-3981-413d-9a25-4ea9849ad1f5","RANKED_SOLO_5x5","PLATINUM","IV","SybLHqAhSS2tsT4cECXmNhgHkCJoNw7ZqIrm5dOtCiP7E2S3","Défne",36.0,130.0,143.0,false,false,false,false,,,,
"9b505d11-a43a-4fbe-b9ef-3b804593017b","RANKED_SOLO_5x5","PLATINUM","IV","dmWJKUnIM04lo3FBRG5UzhHANaALXGbKPzhWvZILLIzZDSfM","Gemini Healer",18.0,100.0,101.0,false,false,false,false,,,,
"d7e6f373-c2bc-4779-9f9d-be0ff9a8463e","RANKED_SOLO_5x5","PLATINUM","IV","OBA6SFXiYo1eTYUSCJ6nnRenMNcC30QrNC2J4Q-JPAc9a4CY","LP Over Girls",100.0,89.0,85.0,false,false,false,false,2.0,1.0,1.0,"WLN"
"abf7c05c-6d7f-4df0-8bee-c08720a104aa","RANKED_SOLO_5x5","PLATINUM","IV","0Z2sDKnTpU3BeQ25ABKtdCnQ1U552Oa-XmkgdHPL2sZFHyEA","Ringabel666",0.0,86.0,76.0,false,false,false,false,,,,
"87170e68-da8d-40a6-ac1b-6509800ea542","RANKED_SOLO_5x5","PLATINUM","IV","vDS8rl0kaD5BlOMdsRYq7aJ_aSmfkhRaSA78JvpTwsygNO9i","Never rages",61.0,52.0,51.0,false,false,false,false,,,,
"56cfe588-97e5-4827-a8b5-a328ec6075ee","RANKED_SOLO_5x5","PLATINUM","IV","ggOHgK_jJD5tbhGV--3O6rM-bTMSPDMHdeje7BZ_VNZ7X1eb","Áććømplishêd",75.0,40.0,55.0,false,false,false,false,,,,
"651f3216-41e8-4588-898c-a582a6a69d02","RANKED_SOLO_5x5","PLATINUM","IV","NLkrRgXKq_D5swQIWJXj9-5z8nRXcBYD-7I4XTVNzpmvHGdt","herr mannerlig",77.0,163.0,172.0,true,false,false,false,,,,
"d7864a0c-c59b-44ab-a999-6fcd07519075","RANKED_SOLO_5x5","PLATINUM","IV","hZyUzaz49lwj_Xj7jOrhLebkJ5vpeQwsGYTK5csfQaM1_mlK","Jüki",98.0,39.0,26.0,false,false,false,false,,,,
"2daef342-c578-4d6c-a3f4-cd7a5db54b4b","RANKED_SOLO_5x5","PLATINUM","IV","COXaPe17o7rxAMsjTcA-GHKXcP_11Zad0twE3y1vX9af4ZdI","Mouth of Sauron",60.0,44.0,36.0,false,false,false,false,,,,
"b5fe56f1-ec89-4acb-b63f-2f593dda715d","RANKED_SOLO_5x5","PLATINUM","IV","lX8s6W86Mhz14Rs3bizydXpsI2aulpiPiM8qgpULPYpPWcTf","Lewite",60.0,3.0,7.0,false,false,false,false,,,,
"1882441a-04ee-41e4-b604-cb1d99522250","RANKED_SOLO_5x5","PLATINUM","IV","XYrmNmpppL6o0jw0_jCmKgKcXwJq45P7TdWm11XZUlUlC45c","Dr Steve Harvey",100.0,11.0,12.0,false,false,false,false,2.0,0.0,0.0,"NNN"
"2ddbe593-6993-4d7a-8a9a-551475710679","RANKED_SOLO_5x5","PLATINUM","IV","bZpsoX7a8kXAvt7LnhCtebFJrjLaeB5AqCcd69ZWBk9Rdptk","Princess Thicc",0.0,4.0,11.0,false,false,false,false,,,,
"fed17ca3-7a9d-4991-ab71-7e2c190ed558","RANKED_SOLO_5x5","PLATINUM","IV","exChs6miG5rx1BQTPJwU4hMjbJHTiE6HVitK9SbW7J7KDCmb","DvaXAhriXMomo",32.0,75.0,63.0,false,false,false,false,,,,
"0e28173d-1c5f-42c9-bd92-f5dd39eae904","RANKED_SOLO_5x5","PLATINUM","IV","DMHNt78eBA6cggZSiBaseKc7qQmN0p-gb-aAcPbfHt9nCinC","Hïde øn bush",0.0,109.0,89.0,false,false,false,false,,,,
"611a79be-56e8-401a-b407-070a36f54fd9","RANKED_SOLO_5x5","PLATINUM","IV","pITpLZUmMzAehDRo6u0ASSw4BA_crMN99WC6m2wuQHKlzHjX","ciuppati fangirl",0.0,158.0,137.0,false,false,false,false,,,,
"8fa64206-d4f2-404f-a37a-18a7a9c0bf0f","RANKED_SOLO_5x5","PLATINUM","IV","s-2dP8wd6x1dgL50aN3XIWTrqXvz9L5cw43CScVuyYvNcWfE","X The BuTcHer X",0.0,106.0,94.0,false,false,true,false,,,,
"67eb7e62-4ee5-48df-8056-f264df5dd704","RANKED_SOLO_5x5","PLATINUM","IV","dKdMlN4NdwwQcoclFJ4yErHaW1rIF7qVZpY9-hrDpxYtarvQ","Star Shoppíng",98.0,9.0,9.0,false,false,false,false,,,,
"c98aea32-f2f6-4029-ab04-5b6bda8d9c62","RANKED_SOLO_5x5","PLATINUM","IV","a3G9KqGIHzUaDYzujXImwuJuPAX4RUmcreMq2X-8ePZJNp2R","Soulovers",41.0,9.0,4.0,false,false,false,false,,,,
"b47b2dd7-390b-45fd-988d-e6e8dbfd10d4","RANKED_SOLO_5x5","PLATINUM","IV","1meSgV85PHkQ9Q6bpyprIC6c_hPiqA6NnkYC3AGiAEo1LxZN","Lýnxes",0.0,113.0,104.0,false,false,false,false,,,,
