/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"d17f63a7-6096-4138-a404-3050cc46d0fb","RANKED_SOLO_5x5","SILVER","II","FwI9H1Ne47bfvwMDehnxhHP1aoVWAruNn79KTSxjHcpFGoz4","Tryhard Bot",4.0,14.0,15.0,false,false,false,false,,,,
"d226f208-4eeb-4c65-ba86-a77a7f0cc40a","RANKED_SOLO_5x5","SILVER","II","fCladC5P-MC7wSQBFO9ADFYmk29msbpAAqd7X2hkjp6yQPA6","Þórr",58.0,75.0,68.0,false,false,false,false,,,,
"29ebb6ec-46e9-46c9-b046-e735e6ab6caa","RANKED_SOLO_5x5","SILVER","II","Y0fLM5qXM4dyFcvWkH_fomz84zyZ_iV7AimACzJ5NOwvogmz","Battoozxz",59.0,38.0,43.0,false,false,false,false,,,,
"70953cfe-1a66-408c-b291-43931c0c8730","RANKED_SOLO_5x5","SILVER","II","4tidcZm-4OAJ53NbiCz5ZiI27GopzAp5nfcgRvcw_KQtydrz","rimbl3",76.0,35.0,26.0,false,false,false,false,,,,
"f58dce84-018e-4042-9b9f-36fd264ef04d","RANKED_SOLO_5x5","SILVER","II","lihRIYLF9qqr1L9iXlzeo-0J8KXy4dbjxcp5ZySpmIpadmRm","Swenna",31.0,45.0,51.0,false,false,false,false,,,,
"878ba93f-445a-41c1-893d-a9102eb4d4b7","RANKED_SOLO_5x5","SILVER","II","EGqIiK9DJXdp2ZTcMEzUzWzW-czSPDM1Qau1hAacpelgO00t","Güccük Osman",0.0,17.0,21.0,false,false,false,false,,,,
"76389e5f-5eeb-4241-a2f7-df0b2810df01","RANKED_SOLO_5x5","SILVER","II","sh54pF5oupxHWPzSA7Ob13PlMJSCpu3KyYlZHqKIrR571BQU","OWL Soufly",4.0,53.0,60.0,false,false,false,false,,,,
"5935bdf8-ef9e-4fab-b8c4-835c2b937348","RANKED_SOLO_5x5","SILVER","II","5BOwLnBRndaEzTxcONlY3F71aFQt_wYho5djq2bCak-eojHN","FitiQ",57.0,25.0,27.0,false,false,false,false,,,,
"3700e13d-7810-41bd-87f7-1978547746a6","RANKED_SOLO_5x5","SILVER","II","bS6wexzR9K_w9RXj_fyVTwmiLkIWhHCra675ymZ8T0sHAs-0","Korean proo",22.0,44.0,75.0,false,false,false,false,,,,
"be0d7820-d1e2-43bf-81ee-944c74bed142","RANKED_SOLO_5x5","SILVER","II","nOmdin7izGgSh3ns_KNRL7Z8zG3_jRRQ2y0jRBzeXRUJlR32","Vukooo",8.0,36.0,45.0,false,false,false,false,,,,
"1db1faa2-5aae-430b-9578-7bffe5ade0e4","RANKED_SOLO_5x5","SILVER","II","WfHf7e8dhWMTG2YpaJjbgaqE0tFtSYwwoGcT0StJFFPp3qjk","Mukspeikko",0.0,52.0,85.0,false,false,false,false,,,,
"35d52ee5-71b2-4809-ad48-3b44c563b93a","RANKED_SOLO_5x5","SILVER","II","d2bNYbhuSamvLP0w_SKM3uZCMQS6JEl15DbvW4-38jizTtmO","Kurupeeze",5.0,22.0,19.0,false,false,false,false,,,,
"c53a8350-1bf3-4cbb-a098-c82e5e1172c9","RANKED_SOLO_5x5","SILVER","II","wuk3DYWW812kTSKNSLTeZMKnwBNPGkUZLJ3UamaCMbI7Lobn","Líndstedt",93.0,47.0,62.0,false,false,false,false,,,,
"0d585019-8a35-4f45-9dfb-72372bd3a419","RANKED_SOLO_5x5","SILVER","II","1B0qhjfogjwM_6bHt_v5LPvWDVVYA8OUt-MU_sysFGJqn2xZ","sami bot",27.0,35.0,39.0,false,false,false,false,,,,
"a4d0c0b6-9f27-4eef-a3e4-7edd3f33013a","RANKED_SOLO_5x5","SILVER","II","zO6895WP8MCPH0zg2Ew-_js6mgfhAFZCvCALCJfLFvJK-Pnp","Ecklbro",43.0,73.0,64.0,false,false,false,false,,,,
"a6d42568-6baa-4f8d-ad63-a00e1522b952","RANKED_SOLO_5x5","SILVER","II","v_hRLBVRcsbudDACHSosTVW87tj0b2O459ayvdd-tC1P-gY9","DeiviJonnes",75.0,100.0,101.0,false,false,false,false,,,,
"9b01984a-81f1-49c6-b2c8-1bb2e3698db8","RANKED_SOLO_5x5","SILVER","II","sf_zRCa_BN_l7drinBjd7sYc_NghvV6_C-85aJFpFYEgTcIC","Trick to S",19.0,37.0,41.0,false,false,false,false,,,,
"0bc673e1-b79b-44c2-b20f-0f93fbcc5a58","RANKED_SOLO_5x5","SILVER","II","fnPqil99V0t1ceOUvb2PIZuFDbcMQY8LvJcVNaeSn0wpXmCq","icepep",68.0,35.0,37.0,false,false,false,false,,,,
"0c03fc31-d795-4734-af92-d421fed38e47","RANKED_SOLO_5x5","SILVER","II","-7dD2XW_V_rkpui38SO20fRtfoX-wMo6oFWF_iNOK0AofcP0","ALMANSOORIIIII",6.0,53.0,52.0,false,false,false,false,,,,
"fcfc5d17-477f-423e-9012-05c769682406","RANKED_SOLO_5x5","SILVER","II","duShC6d5Dl2pZa75U8qrJdtwn9Rsdyg4WWqNni6LAN_SVmas","Nëxt",100.0,35.0,9.0,false,false,false,true,2.0,1.0,0.0,"WNN"
"4bfe195e-dafd-4711-8f46-6ee0a6badec2","RANKED_SOLO_5x5","SILVER","II","_rqpI_rAl2v5xJ0XOnIIH843mInV_F7rhrDu3vn1L9_NAFMM","Mausidze",22.0,9.0,18.0,false,false,false,false,,,,
"8803d172-eace-42a6-a068-df332d50e354","RANKED_SOLO_5x5","SILVER","II","igASuA2asCIL2kPq9b2AQDlYcD9ycNl3zlo5VbCvRJHi0eH8","Cons",100.0,53.0,56.0,false,false,false,false,2.0,1.0,0.0,"WNN"
"19a9f0b0-f88f-4dbd-913a-79839bfd0419","RANKED_SOLO_5x5","SILVER","II","PYO3465pz3SEQsc4epyhiPaauESFEz1xjODMXgfooRzydWdH","mPowerr",58.0,135.0,139.0,false,false,false,false,,,,
"e9b34787-20d8-466d-8fad-c2ca3920479b","RANKED_SOLO_5x5","SILVER","II","haFz8h33sSt6sMpCIHBbidtiDbgKxNHUXS3wXKAskuIbNd-7","S4viÖr",22.0,83.0,97.0,false,false,false,false,,,,
"34eb7a03-6c93-4b03-b5e1-fb73dfb2337a","RANKED_SOLO_5x5","SILVER","II","OE2LGwP7LZpudGYgU9PdrokVPbrms5JArd-s1dA5FOOhO9yK","WiChoZ",5.0,50.0,43.0,false,false,false,false,,,,
"9da2462d-7c85-438a-9b1e-e51afbcffb26","RANKED_SOLO_5x5","SILVER","II","l_ur9u-e1tdxKAxkEQe4GqVZuvRow70AgNorruRV2Ru8uih-","VELkopKOZelDark",100.0,53.0,52.0,false,false,false,false,2.0,1.0,0.0,"WNN"
"99f83418-c01a-46ba-b464-e7d023b604f3","RANKED_SOLO_5x5","SILVER","II","aq47j4-bGDG_WtTibgI6zJ2u4_5WE4o6uaCf3fH306huSJWm","lole1342",3.0,45.0,42.0,false,false,false,false,,,,
"3fbc12c8-d232-473f-9bc2-6fd9697dcff5","RANKED_SOLO_5x5","SILVER","II","GROwAOCwIDQzQPzg_RJM9113cZ1O7URZT7GhHWLav91ONEW0","Expired Condom",16.0,11.0,9.0,false,false,false,false,,,,
