/leagueId,/queueType,/tier,/rank,/summonerId,/summonerName,/leaguePoints,/wins,/losses,/veteran,/inactive,/freshBlood,/hotStreak,/miniSeries/target,/miniSeries/wins,/miniSeries/losses,/miniSeries/progress
"ef88201c-68a5-41cc-8b2a-beb04da82552","RANKED_SOLO_5x5","SILVER","IV","sFyMnrG9EIFavBGdjWgu9iEhNlcMSnzFe_SPeQuHmeT_Vwvi","L1NKMAN",43.0,38.0,38.0,false,false,false,false,,,,
"b7a07aaa-c9bc-443a-9967-7275bd430340","RANKED_SOLO_5x5","SILVER","IV","2PGUe1oZo8gpq7zPHuG88OxeMfPHITexfy-hu-tXVuLBQ00D","WhiteOniion",44.0,15.0,27.0,false,false,false,false,,,,
"5be590f2-ed8c-474c-9441-ee7b6ffd054d","RANKED_SOLO_5x5","SILVER","IV","Y5iOgl_Fy9Eq3TtAQoKxVG_Wasd1N3wa2468l8joaVzEcg6j","Conquerorus",14.0,74.0,78.0,false,false,false,false,,,,
"c8931187-fac6-41b7-8c97-b8169115fd4e","RANKED_SOLO_5x5","SILVER","IV","qGR-AvspKdJbE6Pe-JIGiYfaPHnnYUXQIQnFTiHt95Y5R3nL","OnlyAmumuCARRY",57.0,96.0,89.0,false,false,false,true,,,,
"6d2f134e-cd4c-4931-ad21-d3360600a921","RANKED_SOLO_5x5","SILVER","IV","VFZzMURIN3ubLbTj_m3FBvhDzAGYasNTbCIld0dCQR_4wWPK","NICKER v2",19.0,5.0,5.0,false,false,true,true,,,,
"e45bc45a-9ed9-4d82-92d3-2c9ae8ef1b39","RANKED_SOLO_5x5","SILVER","IV","udso4blIPDmjlONkejsAJYhB1-bZhRmunxCiahm9UIaRAQ-a","brutalhit",0.0,16.0,24.0,false,false,false,false,,,,
"38085a65-af56-44ce-9f4a-87204e5fc196","RANKED_SOLO_5x5","SILVER","IV","YQXzjsdzK1S8iVW3OxC4lm2Q3oRf7QetmXpsRHyabgt6Et3B","kTmX1",0.0,55.0,74.0,false,false,false,false,,,,
"02c54866-da63-49f7-a475-1e5fa5b7315c","RANKED_SOLO_5x5","SILVER","IV","tXeKiXGCIczWyudCgHrKHdWD3U3ILuiPJ3j61AodqxUIhW1G","kittening926",86.0,9.0,9.0,false,false,false,false,,,,
"ac2d2baa-fdc0-4b97-8109-cc560c2b1f31","RANKED_SOLO_5x5","SILVER","IV","LWvSjgA7AdXhv-m5F6HFjLhzdbwVdOL6elrqbGKDBkyNmoTg","NatFair",100.0,25.0,21.0,false,false,false,false,2.0,1.0,0.0,"WNN"
"ce1f49d7-80ef-4232-873a-0e29a6068d7e","RANKED_SOLO_5x5","SILVER","IV","Ae6cmX1VkWrpffAbf2SMSxkW2ZFkicmDuZrYV1Fva30gq1kk","Zyphosys",83.0,8.0,5.0,false,false,false,false,,,,
"f91b7b8a-86dd-4c5b-9e27-4c6a71893489","RANKED_SOLO_5x5","SILVER","IV","DeLqs6YBnXk7hlZtkNJMXWGGznbYXk4y-aNU-4FCf5LgWVYa","ºÝoùÇäntSkípMëº",19.0,46.0,47.0,false,false,true,false,,,,
"582930ca-932b-44b9-9fe1-0568f23adea6","RANKED_SOLO_5x5","SILVER","IV","g3BM-dBjwFdYC7UlptNjPxcbmssdlMZFmjL_gKyVrok0q9zN","Wickly",51.0,94.0,108.0,false,false,false,false,,,,
"2ab295de-f454-4ddf-8be9-4487961cd908","RANKED_SOLO_5x5","SILVER","IV","je0wK3NcQyLih1QXXZJ7LvIu2UkF3wyWewrjB8-1VmOsA6LF","KoRbonesh ",84.0,97.0,95.0,false,false,false,false,,,,
"d3f7309b-c183-4ff9-bb22-b9e58cb972b4","RANKED_SOLO_5x5","SILVER","IV","xu320tcR0ZUV-pH4wYUEIYzNbvwxW3iQ9e1DONi2OFYwD1rW","TeddiWasTaken",63.0,6.0,6.0,false,false,false,false,,,,
"0fe3fa31-5c3b-494a-b8ce-a216d234f27e","RANKED_SOLO_5x5","SILVER","IV","1mHqqytM0oi-R7PBYZOf_2mlwBMyNibRpjNW9hRZI2SZ8f1S","Broca",0.0,117.0,123.0,false,false,false,false,,,,
"1dbc7727-c2e6-4b4d-b661-63c83f342e33","RANKED_SOLO_5x5","SILVER","IV","wVXQFU6cqRBoKFvb6H4R4R0W_O_4bFVxytbNGsoHWdQ1oWED","Cover The Egg",42.0,24.0,26.0,false,false,true,false,,,,
"bdecb47c-af0d-4ba5-892f-ed0aa1a1e37a","RANKED_SOLO_5x5","SILVER","IV","21ANSy7rDJ6wiW3QH3Blaa8HMHzgDVXv9adwg-zlIt59qJbl","Doomlegionking",39.0,3.0,7.0,false,false,false,false,,,,
"f4d946ef-9a92-44f0-b710-b955ea68e9f3","RANKED_SOLO_5x5","SILVER","IV","o7MP89TB03HstyclaTJoKPQrZGwGRfD_vUaW817XelGruuyo","ESNmets",57.0,61.0,56.0,false,false,true,false,,,,
"9643d806-7447-4c92-a3b2-0ec06b4844f4","RANKED_SOLO_5x5","SILVER","IV","DUAoSW8gTcSQrcbIpvhW-wRPAlill9gRlnOgA3tePqSLR-wc","Hayate is A God",100.0,18.0,17.0,false,false,false,false,2.0,1.0,0.0,"WNN"
"565b059a-973b-4e41-9dcd-1a2b45db6af8","RANKED_SOLO_5x5","SILVER","IV","iO6Pqk13avDXOIxJdukEZjloH90pasXvyMWXKf8aJyC9c9Xn","Horror of bronze",49.0,178.0,198.0,false,false,false,false,,,,
"5f08ede0-7de3-4fe9-88ff-047305f34f89","RANKED_SOLO_5x5","SILVER","IV","Lw3rezTyEEf82DiNENoiwUimTP7ExdL2gtOPP6yGkdc81n00","Black Jésus",44.0,14.0,21.0,false,false,false,false,,,,
"7604316d-9081-4c6a-b310-e6f21a0a9515","RANKED_SOLO_5x5","SILVER","IV","CymEaHr7pla6nodpPZgsrPS4EaxUoeRJmq3Y5oPFHX6iw0zL","deniel27",30.0,8.0,8.0,false,false,false,false,,,,
"288ec238-b56c-4e6d-a945-4475597ad84d","RANKED_SOLO_5x5","SILVER","IV","T340yRrLN43B8AInCDwB5VhMpLXRsBIlXQvDXrJAMUM2ihxh","Señortaco",81.0,19.0,15.0,false,false,false,false,,,,
"dc47de9e-a2be-479f-bb8b-d508cd94e96a","RANKED_SOLO_5x5","SILVER","IV","rKtqSMoL0u5WGcqUTtDBTTtGLpQeUpFhBCWlAW3EPypTY-1N","Vichousi",0.0,8.0,8.0,false,false,true,false,,,,
"27b82a4a-0b45-41e2-a73a-2f38bd8c9f15","RANKED_SOLO_5x5","SILVER","IV","KK9lcEFphHu-bszeemHpkVrvWyPGalbzcXsxS44duFqMw-qA","Javvelinn",41.0,9.0,15.0,false,false,false,false,,,,
"772c2542-b3ec-4e9c-81f6-c9fddbb3498c","RANKED_SOLO_5x5","SILVER","IV","GPlXpYbFaJ_xrYXLYsLCbGkHYBdiz1veyG5JYvmTTGd73Nme","TAhT NiGhT",67.0,9.0,6.0,false,false,false,false,,,,
"a5bc0566-f1ce-47b9-afa6-f64c57a469f2","RANKED_SOLO_5x5","SILVER","IV","sE9lz1jgQc1_GfPsiGhJpffHOk3kxxaFxn-ACwNeWWNux5v8","Pn Couragement",26.0,13.0,12.0,false,false,true,true,,,,
"58aaa2ba-86e4-430e-90bb-ac0a875a8147","RANKED_SOLO_5x5","SILVER","IV","9D438xXjDU-K9mxlv0d3R0lXbtjJYmbGNknQi79bTF9wM9W0","guilhas72",0.0,26.0,25.0,false,false,true,false,,,,
"2376cea2-772a-46c6-ade7-f7b4538f6ef5","RANKED_SOLO_5x5","SILVER","IV","8G7dOWKtl_oFp_AkqmVwq6vRqb-X5FO8Kph4PvS270fLq2PH","gaahlie",90.0,7.0,5.0,false,false,false,false,,,,
"ddb4c7f8-2bfe-4430-b8f7-009654536570","RANKED_SOLO_5x5","SILVER","IV","YoFAM4QS8bPaRe4mQZ_fj3vKNezuv5YKBKppJM6wU27L5OJ1","r u cereal17",62.0,116.0,116.0,false,false,false,false,,,,
"88c9bb2f-3c12-4848-b7a8-7decdfbb264e","RANKED_SOLO_5x5","SILVER","IV","W5SgTkDJHCaMZkJxihV_aVDT2V94t37vbGz6ZfbVn6GZEZj6","MAKEOUTHILL29",19.0,55.0,54.0,false,false,true,false,,,,
"071bce23-46a9-4e5e-84c0-53b68ec8e089","RANKED_SOLO_5x5","SILVER","IV","_06tPUl4stoRoF8262MK81WpYwAQ-tw0ik66siXmD0YSxoY0","Chicha Mangue",100.0,46.0,38.0,false,false,false,false,2.0,1.0,0.0,"WNN"
"d0af38b6-1700-45cc-896c-6d70268f71a6","RANKED_SOLO_5x5","SILVER","IV","6NvLJyUqNnwbMbjdHw6uePVR9M-2I78aYR0qHmqiPWB0Kors","Akameta",67.0,249.0,248.0,false,false,false,false,,,,
"94493d04-92ef-48f9-8aa9-6cf699215119","RANKED_SOLO_5x5","SILVER","IV","xqhG01R12YKxHlIqRsUvlCJZ6KFMeMOdw1c2vL6N7HRK_2Gu","Hide on Siles",0.0,69.0,59.0,false,false,true,false,,,,
