/gameId,/platformId,/gameCreation,/gameDuration,/queueId,/mapId,/seasonId,/gameVersion,/gameMode,/gameType,/teams/teamId,/teams/win,/teams/firstBlood,/teams/firstTower,/teams/firstInhibitor,/teams/firstBaron,/teams/firstDragon,/teams/firstRiftHerald,/teams/towerKills,/teams/inhibitorKills,/teams/baronKills,/teams/dragonKills,/teams/vilemawKills,/teams/riftHeraldKills,/teams/dominionVictoryScore,/participants/participantId,/participants/teamId,/participants/championId,/participants/spell1Id,/participants/spell2Id,/participants/stats/participantId,/participants/stats/win,/participants/stats/item0,/participants/stats/item1,/participants/stats/item2,/participants/stats/item3,/participants/stats/item4,/participants/stats/item5,/participants/stats/item6,/participants/stats/kills,/participants/stats/deaths,/participants/stats/assists,/participants/stats/largestKillingSpree,/participants/stats/largestMultiKill,/participants/stats/killingSprees,/participants/stats/longestTimeSpentLiving,/participants/stats/doubleKills,/participants/stats/tripleKills,/participants/stats/quadraKills,/participants/stats/pentaKills,/participants/stats/unrealKills,/participants/stats/totalDamageDealt,/participants/stats/magicDamageDealt,/participants/stats/physicalDamageDealt,/participants/stats/trueDamageDealt,/participants/stats/largestCriticalStrike,/participants/stats/totalDamageDealtToChampions,/participants/stats/magicDamageDealtToChampions,/participants/stats/physicalDamageDealtToChampions,/participants/stats/trueDamageDealtToChampions,/participants/stats/totalHeal,/participants/stats/totalUnitsHealed,/participants/stats/damageSelfMitigated,/participants/stats/damageDealtToObjectives,/participants/stats/damageDealtToTurrets,/participants/stats/visionScore,/participants/stats/timeCCingOthers,/participants/stats/totalDamageTaken,/participants/stats/magicalDamageTaken,/participants/stats/physicalDamageTaken,/participants/stats/trueDamageTaken,/participants/stats/goldEarned,/participants/stats/goldSpent,/participants/stats/turretKills,/participants/stats/inhibitorKills,/participants/stats/totalMinionsKilled,/participants/stats/neutralMinionsKilled,/participants/stats/totalTimeCrowdControlDealt,/participants/stats/champLevel,/participants/stats/visionWardsBoughtInGame,/participants/stats/sightWardsBoughtInGame,/participants/stats/firstBloodKill,/participants/stats/firstBloodAssist,/participants/stats/firstTowerKill,/participants/stats/firstTowerAssist,/participants/stats/firstInhibitorKill,/participants/stats/firstInhibitorAssist,/participants/stats/combatPlayerScore,/participants/stats/objectivePlayerScore,/participants/stats/totalPlayerScore,/participants/stats/totalScoreRank,/participants/stats/playerScore0,/participants/stats/playerScore1,/participants/stats/playerScore2,/participants/stats/playerScore3,/participants/stats/playerScore4,/participants/stats/playerScore5,/participants/stats/playerScore6,/participants/stats/playerScore7,/participants/stats/playerScore8,/participants/stats/playerScore9,/participants/stats/perk0,/participants/stats/perk0Var1,/participants/stats/perk0Var2,/participants/stats/perk0Var3,/participants/stats/perk1,/participants/stats/perk1Var1,/participants/stats/perk1Var2,/participants/stats/perk1Var3,/participants/stats/perk2,/participants/stats/perk2Var1,/participants/stats/perk2Var2,/participants/stats/perk2Var3,/participants/stats/perk3,/participants/stats/perk3Var1,/participants/stats/perk3Var2,/participants/stats/perk3Var3,/participants/stats/perk4,/participants/stats/perk4Var1,/participants/stats/perk4Var2,/participants/stats/perk4Var3,/participants/stats/perk5,/participants/stats/perk5Var1,/participants/stats/perk5Var2,/participants/stats/perk5Var3,/participants/stats/perkPrimaryStyle,/participants/stats/perkSubStyle,/participants/stats/statPerk0,/participants/stats/statPerk1,/participants/stats/statPerk2,/participants/timeline/participantId,/participants/timeline/role,/participants/timeline/lane,/participants/timeline/creepsPerMinDeltas/0-10,/participants/timeline/xpPerMinDeltas/0-10,/participants/timeline/goldPerMinDeltas/0-10,/participants/timeline/csDiffPerMinDeltas/0-10,/participants/timeline/xpDiffPerMinDeltas/0-10,/participants/timeline/damageTakenPerMinDeltas/0-10,/participants/timeline/damageTakenDiffPerMinDeltas/0-10,/participantIdentities/participantId,/participantIdentities/player/platformId,/participantIdentities/player/accountId,/participantIdentities/player/summonerName,/participantIdentities/player/summonerId,/participantIdentities/player/currentPlatformId,/participantIdentities/player/currentAccountId,/participantIdentities/player/matchHistoryUri,/participantIdentities/player/profileIcon
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",100.0,"Win",false,true,false,false,false,false,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",200.0,"Fail",true,false,true,false,false,false,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,1.0,100.0,110.0,4.0,7.0,1.0,true,3085.0,3124.0,3006.0,3031.0,1053.0,0.0,0.0,15.0,8.0,22.0,4.0,3.0,5.0,151.0,3.0,1.0,0.0,0.0,0.0,68979.0,10950.0,58029.0,0.0,594.0,19056.0,4738.0,14317.0,0.0,3145.0,4.0,6823.0,4307.0,4307.0,0.0,28.0,17190.0,10831.0,6359.0,0.0,13070.0,11200.0,3.0,0.0,52.0,0.0,175.0,17.0,0.0,0.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8008.0,1.0,50.0,0.0,9101.0,0.0,0.0,0.0,9104.0,5.0,50.0,0.0,8014.0,770.0,0.0,0.0,8275.0,8.0,0.0,0.0,8236.0,28.0,0.0,0.0,8000.0,8200.0,5005.0,5008.0,5002.0,1.0,"DUO_SUPPORT","NONE",2.8,812.4,607.4,0.02000000000000013,122.36000000000013,671.3,-320.4799999999999,,,,,,,,,
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,2.0,100.0,117.0,4.0,13.0,2.0,true,3158.0,2031.0,3048.0,3174.0,3504.0,1058.0,2052.0,5.0,5.0,34.0,2.0,1.0,1.0,343.0,0.0,0.0,0.0,0.0,0.0,36367.0,31170.0,5196.0,0.0,0.0,9622.0,9210.0,411.0,0.0,2913.0,5.0,9840.0,1782.0,1782.0,0.0,20.0,12798.0,7577.0,5220.0,0.0,11603.0,9900.0,0.0,0.0,35.0,0.0,172.0,18.0,0.0,0.0,false,false,false,true,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8214.0,763.0,2148.0,0.0,8226.0,250.0,750.0,0.0,8210.0,40.0,0.0,0.0,8237.0,364.0,0.0,0.0,8453.0,321.0,2051.0,0.0,8473.0,589.0,0.0,0.0,8200.0,8400.0,5008.0,5002.0,5001.0,2.0,"DUO_SUPPORT","NONE",1.1,803.2,469.40000000000003,0.02000000000000013,122.36000000000013,570.7,-320.4799999999999,,,,,,,,,
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,3.0,100.0,143.0,32.0,4.0,3.0,true,3020.0,3285.0,3151.0,3116.0,1058.0,0.0,2052.0,6.0,5.0,22.0,2.0,2.0,1.0,273.0,1.0,0.0,0.0,0.0,0.0,85617.0,81590.0,3011.0,1015.0,0.0,24192.0,22604.0,628.0,959.0,5425.0,1.0,5790.0,783.0,783.0,0.0,31.0,16591.0,9923.0,6426.0,241.0,12710.0,11250.0,0.0,0.0,65.0,0.0,183.0,18.0,0.0,0.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8128.0,1113.0,19.0,1315.0,8143.0,172.0,0.0,0.0,8138.0,30.0,0.0,0.0,8135.0,3298.0,5.0,0.0,9111.0,1138.0,280.0,0.0,8014.0,624.0,0.0,0.0,8100.0,8000.0,5008.0,5008.0,5002.0,3.0,"DUO_SUPPORT","NONE",2.7,757.2,519.9,0.02000000000000013,122.36000000000013,433.79999999999995,-320.4799999999999,,,,,,,,,
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,4.0,100.0,9.0,13.0,4.0,4.0,true,1026.0,1052.0,3165.0,3116.0,3151.0,3020.0,0.0,10.0,10.0,29.0,4.0,2.0,2.0,125.0,1.0,0.0,0.0,0.0,0.0,78840.0,77710.0,1130.0,0.0,0.0,35979.0,35553.0,425.0,0.0,4722.0,1.0,10744.0,1522.0,1522.0,0.0,161.0,28888.0,15238.0,12185.0,1463.0,12655.0,12285.0,1.0,1.0,30.0,0.0,512.0,18.0,0.0,0.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8229.0,2771.0,0.0,0.0,8226.0,250.0,389.0,0.0,8210.0,0.0,0.0,0.0,8236.0,48.0,0.0,0.0,8138.0,30.0,0.0,0.0,8105.0,16.0,5.0,0.0,8200.0,8100.0,5008.0,5008.0,5001.0,4.0,"DUO_SUPPORT","NONE",1.3,761.9,568.6,0.02000000000000013,122.36000000000013,747.7,-320.4799999999999,,,,,,,,,
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,5.0,100.0,134.0,4.0,32.0,5.0,true,3285.0,3020.0,3165.0,3089.0,0.0,0.0,2052.0,13.0,7.0,15.0,4.0,4.0,3.0,278.0,2.0,2.0,1.0,0.0,0.0,90476.0,88275.0,2082.0,118.0,0.0,30047.0,29471.0,457.0,118.0,5438.0,1.0,7864.0,2290.0,2290.0,0.0,29.0,19846.0,8638.0,11031.0,176.0,12649.0,11000.0,0.0,0.0,64.0,0.0,141.0,17.0,0.0,0.0,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8112.0,723.0,0.0,0.0,8139.0,1409.0,0.0,0.0,8138.0,30.0,0.0,0.0,8135.0,3045.0,5.0,0.0,8226.0,250.0,937.0,0.0,8210.0,0.0,0.0,0.0,8100.0,8200.0,5008.0,5008.0,5001.0,5.0,"DUO_SUPPORT","NONE",3.9000000000000004,785.6,610.3,0.02000000000000013,122.36000000000013,708.5,-320.4799999999999,,,,,,,,,
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,6.0,200.0,236.0,7.0,4.0,6.0,false,3031.0,3111.0,3211.0,3156.0,3067.0,1053.0,2052.0,7.0,9.0,16.0,4.0,1.0,2.0,235.0,0.0,0.0,0.0,0.0,0.0,44672.0,1799.0,42873.0,0.0,639.0,15454.0,764.0,14690.0,0.0,3047.0,4.0,14435.0,1193.0,1193.0,0.0,0.0,18421.0,14966.0,3015.0,439.0,11303.0,11050.0,2.0,1.0,37.0,0.0,0.0,17.0,0.0,0.0,false,false,false,false,true,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8005.0,984.0,553.0,431.0,9111.0,614.0,230.0,0.0,9104.0,7.0,50.0,0.0,8299.0,722.0,0.0,0.0,8106.0,5.0,0.0,0.0,8143.0,380.0,0.0,0.0,8000.0,8100.0,5005.0,5008.0,5001.0,6.0,"DUO_SUPPORT","NONE",1.6,634.0,454.4,-0.02000000000000013,-122.36000000000013,820.5,320.4799999999999,,,,,,,,,
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,7.0,200.0,21.0,21.0,4.0,7.0,false,3147.0,3142.0,3020.0,3071.0,3814.0,1053.0,2052.0,15.0,10.0,8.0,3.0,3.0,6.0,132.0,5.0,1.0,0.0,0.0,0.0,49702.0,4343.0,45358.0,0.0,625.0,18395.0,1556.0,16839.0,0.0,4329.0,1.0,6357.0,2065.0,2065.0,0.0,10.0,23046.0,19868.0,3098.0,79.0,14020.0,13700.0,0.0,0.0,50.0,0.0,134.0,17.0,0.0,0.0,true,false,false,false,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8008.0,2.0,0.0,0.0,9111.0,746.0,230.0,0.0,9104.0,7.0,50.0,0.0,8014.0,756.0,0.0,0.0,8139.0,1325.0,0.0,0.0,8135.0,926.0,5.0,0.0,8000.0,8100.0,5005.0,5008.0,5001.0,7.0,"DUO_SUPPORT","NONE",3.3,719.4,705.4000000000001,-0.02000000000000013,-122.36000000000013,968.6,320.4799999999999,,,,,,,,,
4.433359617E9,"EUW1",1.582990222455E12,1129.0,450.0,12.0,13.0,"10.4.308.9400","ARAM","MATCHED_GAME",,,,,,,,,,,,,,,,8.0,200.0,63.0,13.0,4.0,8.0,false,3029.0,1026.0,0.0,3151.0,3285.0,3020.0,0.0,7.0,10.0,15.0,3.0,2.0,1.0,176.0,1.0,0.0,0.0,0.0,0.0,57580.0,55789.0,1791.0,0.0,0.0,24186.0,23635.0,550.0,0.0,5018.0,1.0,6029.0,294.0,294.0,0.0,17.0,23095.0,19497.0,3353.0,244.0,11273.0,10950.0,0.0,0.0,44.0,0.0,32.0,17.0,0.0,0.0,false,false,false,false,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8128.0,1295.0,20.0,1158.0,8139.0,1523.0,0.0,0.0,8138.0,30.0,0.0,0.0,8135.0,2582.0,5.0,0.0,8226.0,250.0,412.0,0.0,8237.0,755.0,0.0,0.0,8100.0,8200.0,5008.0,5008.0,5001.0,8.0,"DUO_SUPPORT","NONE",1.9000000000000001,689.7,422.9,-0.02000000000000013,-122.36000000000013,974.0999999999999,320.4799999999999,,,,,,,,,
